# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	492	2238	-							ETH_00004550	1747		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	492	2238	-	CDJ36917.1			zinc knuckle domain-containing protein, putative			ETH_00004550	582	193	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	3888	4933	-							ETH_00004555	1046		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	3888	4933	-	CDJ36918.1			G-patch domain-containing protein, putative			ETH_00004555	714	237	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	5635	13326	+							ETH_00004560	7692		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	5635	13326	+	CDJ36919.1			hypothetical protein, conserved			ETH_00004560	3978	1325	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	14506	15972	-							ETH_00004565	1467		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	14506	15972	-	CDJ36920.1			hypothetical protein, conserved			ETH_00004565	1467	488	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	23793	25995	+							ETH_00004570	2203		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	23793	25995	+	CDJ36921.1			hypothetical protein, conserved			ETH_00004570	597	198	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	27102	27806	-							ETH_00004575	705		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	27102	27806	-	CDJ36922.1			40S ribosomal protein S14, putative			ETH_00004575	507	168	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	31451	32647	+							ETH_00004580	1197		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	31451	32647	+	CDJ36923.1			hypothetical protein, conserved			ETH_00004580	630	209	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	34116	37517	-							ETH_00004585	3402		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	34116	37517	-	CDJ36924.1			hypothetical protein, conserved			ETH_00004585	3129	1042	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	40518	45193	-							ETH_00004590	4676		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	40518	45193	-	CDJ36925.1			hypothetical protein, conserved			ETH_00004590	3639	1212	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	48682	52149	-							ETH_00004595	3468		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	48682	52149	-	CDJ36926.1			hypothetical protein, conserved			ETH_00004595	3468	1155	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	65945	66376	-							ETH_00004600	432		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	65945	66376	-	CDJ36927.1			hypothetical protein			ETH_00004600	432	143	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	66632	68530	-							ETH_00004605	1899		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	66632	68530	-	CDJ36928.1			hypothetical protein, conserved			ETH_00004605	1719	572	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	68927	69232	-							ETH_00004610	306		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	68927	69232	-	CDJ36929.1			hypothetical protein			ETH_00004610	306	101	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	69263	69910	-							ETH_00004615	648		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	69263	69910	-	CDJ36930.1			hypothetical protein			ETH_00004615	648	215	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	69935	72650	-							ETH_00004620	2716		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	69935	72650	-	CDJ36931.1			hypothetical protein, conserved			ETH_00004620	2694	897	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	76987	79065	+							ETH_00004625	2079		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	76987	79065	+	CDJ36932.1			hypothetical protein, conserved			ETH_00004625	2079	692	
gene	protein_coding	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	82762	88125	-							ETH_00004630	5364		
CDS	with_protein	GCA_000499545.1	Primary Assembly	unplaced scaffold		HG673746.1	82762	88125	-	CDJ36933.1			hypothetical protein, conserved			ETH_00004630	5364	1787	
