# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680873.1	2852	5353	-							EMH_0038040	2502		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680873.1	2852	5353	-	CDJ28115.1			hypothetical protein			EMH_0038040	942	313	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680873.1	6653	7731	+							EMH_0038050	1079		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680873.1	6653	7731	+	CDJ28116.1			hypothetical protein			EMH_0038050	363	120	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680873.1	7865	10677	+							EMH_0038060	2813		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680873.1	7865	10677	+	CDJ28117.1			hypothetical protein			EMH_0038060	873	290	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680873.1	10939	11672	+							EMH_0038070	734		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680873.1	10939	11672	+	CDJ28118.1			hypothetical protein			EMH_0038070	450	149	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680894.1	998	24254	+							EMH_0098570	23257		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680894.1	998	24254	+	CDJ28119.1			hypothetical protein, conserved			EMH_0098570	17175	5724	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680894.1	28547	29285	+							EMH_0098680	739		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680894.1	28547	29285	+	CDJ28120.1			hypothetical protein, conserved			EMH_0098680	303	100	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680895.1	4001	5725	+							EMH_0038110	1725		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680895.1	4001	5725	+	CDJ28121.1			hypothetical protein			EMH_0038110	1725	574	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680899.1	226	3402	-							EMH_0038120	3177		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680899.1	226	3402	-	CDJ28122.1			hypothetical protein			EMH_0038120	2778	925	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680899.1	4115	6973	-							EMH_0038140	2859		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680899.1	4115	6973	-	CDJ28123.1			leucine rich repeat family protein, putative			EMH_0038140	1434	477	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680902.1	196	1467	-							EMH_0038150	1272		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680902.1	196	1467	-	CDJ28124.1			hypothetical protein			EMH_0038150	738	245	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680902.1	5422	11116	-							EMH_0038160	5695		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680902.1	5422	11116	-	CDJ28125.1			hypothetical protein, conserved			EMH_0038160	1833	610	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680908.1	1612	2737	+							EMH_0038180	1126		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680908.1	1612	2737	+	CDJ28126.1			hypothetical protein, conserved			EMH_0038180	507	168	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680908.1	4315	6001	-							EMH_0038190	1687		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680908.1	4315	6001	-	CDJ28127.1			hypothetical protein, conserved			EMH_0038190	1038	345	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680913.1	7350	10411	-							EMH_0038200	3062		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680913.1	7350	10411	-	CDJ28128.1			hypothetical protein, conserved			EMH_0038200	1425	474	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680918.1	1032	4644	-							EMH_0038210	3613		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680918.1	1032	4644	-	CDJ28129.1			hypothetical protein, conserved			EMH_0038210	1269	422	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680924.1	8069	10477	+							EMH_0038220	2409		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680924.1	8069	10477	+	CDJ28130.1			hypothetical protein, conserved			EMH_0038220	2067	688	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680929.1	165	712	-							EMH_0038230	548		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680929.1	165	712	-	CDJ28131.1			hypothetical protein			EMH_0038230	435	144	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680929.1	1911	3018	+							EMH_0038250	1108		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680929.1	1911	3018	+	CDJ28132.1			hypothetical protein			EMH_0038250	717	238	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680929.1	3442	4122	-							EMH_0038260	681		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680929.1	3442	4122	-	CDJ28133.1			hypothetical protein			EMH_0038260	579	192	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680929.1	7367	10057	+							EMH_0038270	2691		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680929.1	7367	10057	+	CDJ28134.1			hypothetical protein, conserved			EMH_0038270	855	284	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680934.1	12	10285	+							EMH_0038280	10274		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680934.1	12	10285	+	CDJ28135.1			hypothetical protein, conserved			EMH_0038280	5085	1694	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680936.1	1962	8967	-							EMH_0012910	7006		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680936.1	1962	8967	-	CDJ28136.1			penicillin amidase domain-containing protein, putative			EMH_0012910	2685	894	
gene	protein_coding	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680936.1	11784	12608	-							EMH_0013030	825		
CDS	with_protein	GCA_000499745.2	Primary Assembly	unplaced scaffold		HG680936.1	11784	12608	-	CDJ28137.1			hypothetical protein, conserved			EMH_0013030	825	274	
