# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	4634	5754	-							PADL01_0100100	1121		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	4634	5754	-	SOV10181.1			merozoite-associated tryptophan-rich antigen, putative			PADL01_0100100	543	180	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	6503	8685	-							PADL01_0100200	2183		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	6503	8685	-	SOV10182.1			serine/threonine protein kinase, FIKK family, putative			PADL01_0100200	1875	624	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	11489	12479	+							PADL01_0100300	991		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	11489	12479	+	SOV10183.1			merozoite-associated tryptophan-rich antigen, putative			PADL01_0100300	831	276	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	13028	14806	-							PADL01_0100400	1779		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	13028	14806	-	SOV10184.1			conserved Plasmodium protein, unknown function			PADL01_0100400	1779	592	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	15685	17568	-							PADL01_0100500	1884		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	15685	17568	-	SOV10185.1			aspartate--tRNA ligase			PADL01_0100500	1884	627	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	18637	20197	-							PADL01_0100600	1561		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	18637	20197	-	SOV10186.1			vacuolar protein sorting-associated protein VTA1, putative			PADL01_0100600	804	267	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	20987	25435	-							PADL01_0100700	4449		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	20987	25435	-	SOV10187.1			vacuolar protein sorting-associated protein 51, putative			PADL01_0100700	4449	1482	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	26727	28135	-							PADL01_0100800	1409		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	26727	28135	-	SOV10188.1			nucleoside transporter 4			PADL01_0100800	1305	434	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	29458	32136	-							PADL01_0100900	2679		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	29458	32136	-	SOV10189.1			conserved Plasmodium protein, unknown function			PADL01_0100900	2679	892	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	33468	37805	-							PADL01_0101000	4338		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	33468	37805	-	SOV10190.1			zinc-carboxypeptidase, putative			PADL01_0101000	4338	1445	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	39012	45019	+							PADL01_0101100	6008		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	39012	45019	+	SOV10191.1			conserved Plasmodium protein, unknown function			PADL01_0101100	5256	1751	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	45615	50375	+							PADL01_0101200	4761		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	45615	50375	+	SOV10192.1			ATP-dependent RNA helicase, putative			PADL01_0101200	4326	1441	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	50709	52872	+							PADL01_0101300	2164		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	50709	52872	+	SOV10193.1			L-seryl-tRNA(Sec) kinase, putative			PADL01_0101300	1623	540	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	53149	55360	-							PADL01_0101400	2212		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	53149	55360	-	SOV10194.1			actin-related protein			PADL01_0101400	1143	380	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	57382	59007	+							PADL01_0101500	1626		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	57382	59007	+	SOV10195.1			parasite-infected erythrocyte surface protein			PADL01_0101500	1626	541	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	59836	60549	+							PADL01_0101600	714		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	59836	60549	+	SOV10196.1			thrombospondin-related sporozoite protein			PADL01_0101600	492	163	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	62123	64610	+							PADL01_0101700	2488		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	62123	64610	+	SOV10197.1			conserved Plasmodium membrane protein, unknown function			PADL01_0101700	2373	790	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	66289	67683	-							PADL01_0101800	1395		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	66289	67683	-	SOV10198.1			StAR-related lipid transfer protein			PADL01_0101800	1395	464	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	72951	83397	+							PADL01_0101900	10447		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	72951	83397	+	SOV10199.1			ubiquitin carboxyl-terminal hydrolase 1, putative			PADL01_0101900	10164	3387	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	84668	86362	+							PADL01_0102000	1695		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	84668	86362	+	SOV10200.1			4-hydroxy-3-methylbut-2-enyl diphosphate reductase			PADL01_0102000	1695	564	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	86833	87663	-							PADL01_0102100	831		
CDS	with_protein	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	86833	87663	-	SOV10201.1			conserved protein, unknown function			PADL01_0102100	831	276	
gene	protein_coding	GCA_900097015.1	Primary Assembly	chromosome	1	LT969410.1	88223	91992	+							PADL01_0102200	3770		
