# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	other	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	1	556	+							chab01:repeat:0-556	556		
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	1908	3512	+							PCHAS_010010	1605		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	1908	3512	+	CDR10355.1			fam-a protein			PCHAS_010010	903	300	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	4491	5585	-							PCHAS_010020	1095		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	4491	5585	-	CDR10357.1			CIR protein			PCHAS_010020	894	297	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	8274	9419	-							PCHAS_010030	1146		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	8274	9419	-	CDR10358.1			CIR protein			PCHAS_010030	903	300	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	11233	13523	-							PCHAS_010040	2291		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	11233	13523	-	CDR10360.1			CIR protein			PCHAS_010040	2061	686	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	17600	19220	+							PCHAS_010050	1621		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	17600	19220	+	CDR10361.1			fam-a protein			PCHAS_010050	921	306	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	25259	29104	+							PCHAS_010060	3846		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	25259	29104	+	CDR10362.1			conserved rodent malaria protein, unknown function			PCHAS_010060	3846	1281	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	35367	36137	-							PCHAS_010070	771		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	35367	36137	-	CDR10364.1			fam-c protein			PCHAS_010070	606	201	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	37874	38619	-							PCHAS_010080	746		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	37874	38619	-	CDR10365.1			CIR protein			PCHAS_010080	450	149	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	40042	41212	+							PCHAS_010090	1171		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	40042	41212	+	CDR10367.1			Plasmodium exported protein, unknown function			PCHAS_010090	1002	333	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	43934	45385	+							PCHAS_010100	1452		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	43934	45385	+	CDR10368.1			lysophospholipase, putative			PCHAS_010100	1452	483	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	47320	49277	+							PCHAS_010110	1958		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	47320	49277	+	CDR10370.1			reticulocyte binding protein, putative			PCHAS_010110	1857	618	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	50547	51983	-							PCHAS_010120	1437		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	50547	51983	-	CDR10371.1			CIR protein			PCHAS_010120	1056	351	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	53390	53881	+							PCHAS_010130	492		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	53390	53881	+	CDR10373.1			schizont membrane associated cytoadherence protein, putative			PCHAS_010130	492	163	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	56015	57430	+							PCHAS_010140	1416		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	56015	57430	+	CDR10374.1			Plasmodium exported protein, unknown function			PCHAS_010140	1221	406	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	58537	62706	-							PCHAS_010150	4170		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	58537	62706	-	CDR10375.1			conserved Plasmodium protein, unknown function			PCHAS_010150	4170	1389	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	67218	71218	+							PCHAS_010160	4001		
CDS	with_protein	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	67218	71218	+	CDR10377.1			ATP-dependent RNA helicase, putative			PCHAS_010160	3882	1293	
gene	protein_coding	GCA_900002335.1	Primary Assembly	chromosome	1	LK022878.1	72336	73582	+							PCHAS_010170	1247		
