# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	3227	4078	-							BOVATA_000010	852		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	3227	4078	-	GBE58508.1			hypothetical protein, conserved			BOVATA_000010	852	283	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	5995	7509	-							BOVATA_000020	1515		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	5995	7509	-	GBE58509.1			ribosome binding protein			BOVATA_000020	1515	504	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	7764	13014	-							BOVATA_000030	5251		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	7764	13014	-	GBE58510.1			ribosome binding protein			BOVATA_000030	5220	1739	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	14495	16064	-							BOVATA_000040	1570		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	14495	16064	-	GBE58511.1			major facilitator superfamily member protein			BOVATA_000040	1533	510	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	18539	19605	-							BOVATA_000050	1067		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	18539	19605	-	GBE58512.1			ubiquinol-cytochrome C iron-sulfur subunit			BOVATA_000050	957	318	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	20396	21526	+							BOVATA_000060	1131		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	20396	21526	+	GBE58513.1			guanine nucleotide-binding subunit beta 1 homolog, putative			BOVATA_000060	1035	344	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	20920	21255	-							BOVATA_000070	336		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	20920	21255	-	GBE58514.1			adenylylsulfate kinase, putative			BOVATA_000070	336	111	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	21552	22355	-							BOVATA_000080	804		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	21552	22355	-	GBE58515.1			DNA-directed RNA polymerase			BOVATA_000080	618	205	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	22816	23091	-							BOVATA_000090	276		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	22816	23091	-	GBE58516.1			glycoside hydrolase family 16, putative			BOVATA_000090	276	91	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	22844	23587	+							BOVATA_000100	744		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	22844	23587	+	GBE58517.1			normocyte binding protein, putative			BOVATA_000100	744	247	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	24487	24874	+							BOVATA_000110	388		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	24487	24874	+	GBE58518.1			family transcriptional regulator, putative			BOVATA_000110	225	74	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	25433	26142	+							BOVATA_000120	710		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	25433	26142	+	GBE58519.1			nuclear factor NF3			BOVATA_000120	420	139	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	26952	28615	+							BOVATA_000130	1664		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	26952	28615	+	GBE58520.1			importin alpha			BOVATA_000130	1626	541	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	28787	31630	+							BOVATA_000140	2844		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	28787	31630	+	GBE58521.1			RNA recognition motif domain-containing protein			BOVATA_000140	2844	947	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	32594	35281	-							BOVATA_000150	2688		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	32594	35281	-	GBE58522.1			WD G-beta repeat-containing protein, putative			BOVATA_000150	2688	895	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	32900	33319	+							BOVATA_000160	420		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	32900	33319	+	GBE58523.1			hypothetical protein			BOVATA_000160	420	139	
gene	protein_coding	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	36318	36994	+							BOVATA_000170	677		
CDS	with_protein	GCA_002897235.1	Primary Assembly	unplaced scaffold		BDSA01000001.1	36318	36994	+	GBE58524.1			dynein heavy chain axonemal, putative			BOVATA_000170	597	198	
