# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	1426	3111	-							GNI_000010	1686		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	1426	3111	-			EZG89858.1	hypothetical protein			GNI_000010	1686		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	1426	3111	-	EZG89858.1			hypothetical protein			GNI_000010	1686	561	
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	3357	5030	-							GNI_000020	1674		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	3357	5030	-			EZG89859.1	hypothetical protein			GNI_000020	1674		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	3357	5030	-	EZG89859.1			hypothetical protein			GNI_000020	1674	557	
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	5212	7138	-							GNI_000030	1927		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	5212	7138	-			EZG89860.1	hypothetical protein			GNI_000030	1656		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	5212	7138	-	EZG89860.1			hypothetical protein			GNI_000030	1656	551	
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	7653	8744	-							GNI_000040	1092		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	7653	8744	-			EZG89861.1	hypothetical protein			GNI_000040	1092		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	7653	8744	-	EZG89861.1			hypothetical protein			GNI_000040	1092	363	
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	9098	9728	-							GNI_000140	631		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	9098	9728	-			EZG89849.1	hypothetical protein			GNI_000140	631		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	9098	9728	-	EZG89849.1			hypothetical protein			GNI_000140	631	210	partial
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	12607	13398	-							GNI_000240	792		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	12607	13398	-			EZG89841.1	hypothetical protein			GNI_000240	792		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	12607	13398	-	EZG89841.1			hypothetical protein			GNI_000240	792	264	partial
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	13804	14488	-							GNI_000340	685		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	13804	14488	-			EZG89729.1	hypothetical protein			GNI_000340	685		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	13804	14488	-	EZG89729.1			hypothetical protein			GNI_000340	685	228	partial
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	15851	16747	-							GNI_000350	897		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	15851	16747	-			EZG89730.1	hypothetical protein			GNI_000350	897		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	15851	16747	-	EZG89730.1			hypothetical protein			GNI_000350	897	298	
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	16881	17537	-							GNI_000360	657		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	16881	17537	-			EZG89731.1	hypothetical protein			GNI_000360	657		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	16881	17537	-	EZG89731.1			hypothetical protein			GNI_000360	657	218	
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	17708	18004	-							GNI_000370	297		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	17708	18004	-			EZG89732.1	putative transmembrane protein			GNI_000370	297		partial
CDS	with_protein	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	17708	18004	-	EZG89732.1			putative transmembrane protein			GNI_000370	297	98	
gene	protein_coding	GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	18121	20363	+							GNI_000380	2243		partial
mRNA		GCA_000223845.4	Primary Assembly	unplaced scaffold		KK211454.1	18121	20363	+			EZG89733.1	DNA polymerase epsilon subunit B			GNI_000380	2025		partial
