# Species	Genes	Alg.-Conn.	GCF_000208865.1_ASM20886v2_protein.faa	GCF_001601855.1_ASM160185v1_protein.faa	GCF_002563875.1_Bbes1.0_protein.faa	GCF_900002375.2_GCA_900002375_protein.faa	GCF_900005765.1_PRELSG_protein.faa
5	5	0.0673	XP_003884658.1	XP_012763853.2	XP_029221224.1	XP_034421385.1	XP_028533330.1
2	5	0.103	*	XP_012760958.2,XP_012760956.2,XP_012760959.2	*	XP_034419935.1,XP_034419934.1	*
2	5	0.192	XP_003879608.1	*	XP_029216392.1,XP_029216393.1,XP_029216394.1,XP_029216395.1	*	*
2	5	0.192	XP_003881982.1,XP_003881983.1,XP_003881984.1,XP_003881985.1	*	XP_029220414.1	*	*
5	5	0.0438	XP_003884097.1	XP_012764619.2	XP_029218967.1	XP_034423547.1	XP_028534161.1
3	6	0.101	*	XP_012765643.1,XP_012763305.2	*	XP_034420351.1,XP_034423388.1	XP_028532138.1,XP_028534325.1
2	7	0.283	XP_003885630.1,XP_003885631.1	*	XP_029218941.1,XP_029218942.1,XP_029218943.1,XP_029218944.1,XP_029218945.1	*	*
3	7	0.118	*	XP_012763030.2,XP_012761082.2,XP_012761101.2,XP_019970813.1	*	XP_034423828.1,XP_034421337.1	XP_028532907.1
5	5	0.0553	XP_003884755.1	XP_012763187.1	XP_029221121.1	XP_034422812.1	XP_028532708.1
5	5	0.0888	XP_003885540.1	XP_019970584.1	XP_029217573.1	XP_034420840.1	XP_028531876.1
4	4	0.137	XP_003881634.1	XP_012763131.2	XP_029218715.1	XP_034422755.1	*
5	5	0.0421	XP_003885927.1	XP_012762278.2	XP_029222315.1	XP_034420673.1	XP_028535497.1
5	5	0.0442	XP_003886097.1	XP_012763172.2	XP_029222136.1	XP_034422797.1	XP_028532693.1
5	5	0.0802	XP_003886057.1	XP_012763644.2	XP_029221642.1	XP_034421591.1	XP_028533115.1
5	5	0.0839	XP_003883764.1	XP_012764475.1	XP_029221352.1	XP_034423902.1	XP_028534864.1
5	5	0.0474	XP_003879654.1	XP_012764223.2	XP_029216445.1	XP_034424330.1	XP_028535306.1
5	5	0.0497	XP_003880652.1	XP_012764045.2	XP_029220279.1	XP_034424153.1	XP_028535120.1
5	5	0.0937	XP_003885260.1	XP_012764139.2	XP_029218281.1	XP_034424243.1	XP_028535213.1
5	5	0.0379	XP_003879570.1	XP_012761449.2	XP_029222775.1	XP_034420929.1	XP_028531968.1
5	5	0.0527	XP_003882990.1	XP_012764426.2	XP_029221932.1	XP_034423852.1	XP_028534814.1
5	5	0.06	XP_003884104.1	XP_012762145.2	XP_029218975.1	XP_034420991.1	XP_028531388.1
5	5	0.168	XP_003884188.1	XP_012761486.2	XP_029219067.1	XP_034420455.1	XP_028532005.1
5	5	0.0622	XP_003881491.1	XP_012762548.1	XP_029220578.1	XP_034420891.1	XP_028531929.1
5	5	0.0959	XP_003883520.1	XP_012763063.1	XP_029222545.1	XP_034422686.1	XP_028532582.1
5	5	0.0474	XP_003884543.1	XP_012763220.2	XP_029219841.1	XP_034420266.1	XP_028532051.1
5	5	0.0793	XP_003884645.1	XP_012762365.1	XP_029221239.1	XP_034419857.1	XP_028535634.1
5	5	0.0738	XP_003880069.1	XP_012762281.2	XP_029217831.1	XP_034420676.1	XP_028535494.1
5	5	0.0295	XP_003885134.1	XP_012763307.2	XP_029218145.1	XP_034420353.1	XP_028532140.1
5	5	0.0464	XP_003882699.1	XP_012761672.1	XP_029221741.1	XP_034422362.1	XP_028533509.1
5	5	0.0599	XP_003880688.1	XP_012762509.2	XP_029220318.1	XP_034424075.1	XP_028535042.1
5	5	0.0327	XP_003886260.1	XP_012765256.1	XP_029215477.1	XP_034422034.1	XP_028535951.1
5	5	0.0706	XP_003885939.1	XP_019969932.1	XP_029222303.1	XP_034422081.1	XP_028535998.1
4	5	0.101	*	XP_019970956.1	XP_029214612.1,XP_029215041.1	YP_009273039.1	YP_009325489.1
