# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	1	2793	-							PRSY57_0100400	2793		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	1	2793	-			KYO03351.1	erythrocyte binding antigen-181			PRSY57_0100400	2793		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	1	2793	-	KYO03351.1			erythrocyte binding antigen-181			PRSY57_0100400	2793	931	partial
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	4475	6725	-							PRSY57_0100500	2251		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	4475	6414	-			KYO03352.1	serine/threonine protein kinase, FIKK family			PRSY57_0100500	1753		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	4475	6414	-	KYO03352.1			serine/threonine protein kinase, FIKK family			PRSY57_0100500	1753	583	partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	6624	6725	-			KYO03353.1	serine/threonine protein kinase, FIKK family			PRSY57_0100500	102		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	6624	6725	-	KYO03353.1			serine/threonine protein kinase, FIKK family			PRSY57_0100500	102	34	partial
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	9339	10405	+							PRSY57_0100600	1067		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	9339	10405	+			KYO03354.1	merozoite-associated tryptophan-rich antigen, putative			PRSY57_0100600	831		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	9339	10405	+	KYO03354.1			merozoite-associated tryptophan-rich antigen, putative			PRSY57_0100600	831	276	
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	11259	13070	-							PRSY57_0100700	1812		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	11259	13070	-			KYO03355.1	hypothetical protein			PRSY57_0100700	1812		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	11259	13070	-	KYO03355.1			hypothetical protein			PRSY57_0100700	1812	603	
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	14351	16231	-							PRSY57_0100800	1881		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	14351	16231	-			KYO03356.1	aspartate--tRNA ligase, putative			PRSY57_0100800	1881		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	14351	16231	-	KYO03356.1			aspartate--tRNA ligase, putative			PRSY57_0100800	1881	626	
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	17518	19164	-							PRSY57_0100900	1647		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	17518	18548	-			KYO03357.1	vacuolar protein sorting-associated protein VTA1, putative			PRSY57_0100900	596		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	17518	18548	-	KYO03357.1			vacuolar protein sorting-associated protein VTA1, putative			PRSY57_0100900	596	197	partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	18759	19164	-			KYO03358.1	vacuolar protein sorting-associated protein VTA1, putative			PRSY57_0100900	151		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	18759	19164	-	KYO03358.1			vacuolar protein sorting-associated protein VTA1, putative			PRSY57_0100900	151	50	partial
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	19903	24723	-							PRSY57_0101000	4821		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	19903	24723	-			KYO03359.1	vacuolar protein sorting-associated protein 51, putative			PRSY57_0101000	4821		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	19903	24723	-	KYO03359.1			vacuolar protein sorting-associated protein 51, putative			PRSY57_0101000	4821	1606	
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	26165	27672	-							PRSY57_0101100	1508		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	26165	27672	-			KYO03360.1	nucleoside transporter 4, putative			PRSY57_0101100	1305		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	26165	27672	-	KYO03360.1			nucleoside transporter 4, putative			PRSY57_0101100	1305	434	
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	29639	32461	-							PRSY57_0101200	2823		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	29639	32461	-			KYO03361.1	hypothetical protein			PRSY57_0101200	2823		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	29639	32461	-	KYO03361.1			hypothetical protein			PRSY57_0101200	2823	940	
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	34315	38931	-							PRSY57_0101300	4617		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	34315	38931	-			KYO03362.1	zinc-carboxypeptidase, putative			PRSY57_0101300	4617		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	34315	38931	-	KYO03362.1			zinc-carboxypeptidase, putative			PRSY57_0101300	4617	1538	
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	40746	47339	+							PRSY57_0101400	6594		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	40746	47339	+			KYO03363.1	hypothetical protein			PRSY57_0101400	5394		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	40746	47339	+	KYO03363.1			hypothetical protein			PRSY57_0101400	5394	1797	
gene	protein_coding	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	47955	53143	+							PRSY57_0101500	5189		partial
mRNA		GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	47955	53143	+			KYO03364.1	ATP-dependent RNA helicase, putative			PRSY57_0101500	4692		partial
CDS	with_protein	GCA_001601855.1	Primary Assembly	chromosome	1	CM003842.1	47955	53143	+	KYO03364.1			ATP-dependent RNA helicase, putative			PRSY57_0101500	4692	1563	
