# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	46	743	-							cgd1_5	698		partial
rRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	46	743	-				18S ribosomal RNA			cgd1_5	698		partial
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	3682	4995	-							cgd1_10	1314		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	3682	4995	-			EAK88544.1	predicted membrane associated protein with 11 transmembrane domains regions			cgd1_10	1314		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	3682	4995	-	EAK88544.1			predicted membrane associated protein with 11 transmembrane domains regions			cgd1_10	1314	437	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	5188	6504	-							cgd1_20	1317		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	5188	6504	-			EAK88543.1	predicted membrane associated protein with 11 transmembrane domains regions			cgd1_20	1317		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	5188	6504	-	EAK88543.1			predicted membrane associated protein with 11 transmembrane domains regions			cgd1_20	1317	438	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	6974	11926	+							cgd1_30	4953		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	6974	11926	+			EAK88542.1	predicted membrane protein with 12+xtransmembrane domain			cgd1_30	4953		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	6974	11926	+	EAK88542.1			predicted membrane protein with 12+xtransmembrane domain			cgd1_30	4953	1650	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	12119	13132	-							cgd1_40	1014		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	12119	13132	-			EAK88539.1	UDP-galactose transporter, predicted signal peptide and 9 transmembrane domains			cgd1_40	1014		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	12119	13132	-	EAK88539.1			UDP-galactose transporter, predicted signal peptide and 9 transmembrane domains			cgd1_40	1014	337	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	13466	16336	+							cgd1_50	2871		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	13466	16336	+			EAK88541.1	hypothetical protein with 2 TPR domains			cgd1_50	2871		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	13466	16336	+	EAK88541.1			hypothetical protein with 2 TPR domains			cgd1_50	2871	956	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	16597	17499	+							cgd1_60	903		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	16597	17499	+			EAZ51310.1	cyclin dependent kinase A, putative			cgd1_60	903		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	16597	17499	+	EAZ51310.1			cyclin dependent kinase A, putative			cgd1_60	903	300	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	17693	18049	-							cgd1_70	357		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	17693	18049	-			EAK88537.1	hypothetical protein			cgd1_70	357		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	17693	18049	-	EAK88537.1			hypothetical protein			cgd1_70	357	118	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	18285	18728	-							cgd1_80	444		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	18285	18728	-			EAK88540.1	hypothetical protein			cgd1_80	444		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	18285	18728	-	EAK88540.1			hypothetical protein			cgd1_80	444	147	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	18868	21141	-							cgd1_90	2274		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	18868	21141	-			EAK88532.1	predicted transcription factor subunit TAF6			cgd1_90	2274		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	18868	21141	-	EAK88532.1			predicted transcription factor subunit TAF6			cgd1_90	2274	757	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	21326	24442	+							cgd1_100	3117		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	21326	24442	+			EAK88533.1	hypothetical protein			cgd1_100	3117		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	21326	24442	+	EAK88533.1			hypothetical protein			cgd1_100	3117	1038	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	25021	26241	+							cgd1_110	1221		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	25021	26241	+			EAK88538.1	predicted secreted protein, signal peptide, paralogs			cgd1_110	1221		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	25021	26241	+	EAK88538.1			predicted secreted protein, signal peptide, paralogs			cgd1_110	1221	406	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	27983	29278	+							cgd1_120	1296		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	27983	29278	+			EAK88536.1	signal peptide, predicted secreted protein with a cysteine cluster at the C-terminus, paralogs			cgd1_120	1296		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	27983	29278	+	EAK88536.1			signal peptide, predicted secreted protein with a cysteine cluster at the C-terminus, paralogs			cgd1_120	1296	431	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	29719	31791	+							cgd1_130	2073		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	29719	31791	+			EAK88535.1	signal peptide, predicted secreted protein with a cysteine cluster at the C-terminus			cgd1_130	2073		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	29719	31791	+	EAK88535.1			signal peptide, predicted secreted protein with a cysteine cluster at the C-terminus			cgd1_130	2073	690	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	32838	35729	+							cgd1_140	2892		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	32838	35729	+			EAK88534.1	conserved hypothetical protein			cgd1_140	2892		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	32838	35729	+	EAK88534.1			conserved hypothetical protein			cgd1_140	2892	963	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	39482	42469	+							cgd1_150	2988		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	39482	42469	+			EAK88522.1	predicted secreted protein, signal peptide			cgd1_150	2988		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	39482	42469	+	EAK88522.1			predicted secreted protein, signal peptide			cgd1_150	2988	995	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	42940	45741	+							cgd1_160	2802		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	42940	45741	+			EAK88531.1	conserved hypothetical protein			cgd1_160	2802		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	42940	45741	+	EAK88531.1			conserved hypothetical protein			cgd1_160	2802	933	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	49637	50494	+							cgd1_170	858		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	49637	50494	+			EAK88530.1	hypothetical protein			cgd1_170	858		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	49637	50494	+	EAK88530.1			hypothetical protein			cgd1_170	858	285	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	50964	52550	+							cgd1_180	1587		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	50964	52550	+			EAK88529.1	hypothetical protein			cgd1_180	1587		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	50964	52550	+	EAK88529.1			hypothetical protein			cgd1_180	1587	528	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	52816	54498	+							cgd1_190	1683		partial
mRNA		GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	52816	54498	+			EAK88528.1	narf-like protein nuclear prelamin A recognition factor			cgd1_190	1683		partial
CDS	with_protein	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	52816	54498	+	EAK88528.1			narf-like protein nuclear prelamin A recognition factor			cgd1_190	1683	560	
gene	protein_coding	GCA_000165345.1	Primary Assembly	chromosome	1	CM000429.1	54728	55322	+							cgd1_200	595		partial
