# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	25411	25963	-							BESB_000020	553		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	25411	25963	-			PFH37660.1	putative membrane protein			BESB_000020	255		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	25411	25963	-	PFH37660.1			putative membrane protein			BESB_000020	255	84	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	32535	39271	+							BESB_000030	6737		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	32535	39271	+			PFH37661.1	hypothetical protein			BESB_000030	2214		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	32535	39271	+	PFH37661.1			hypothetical protein			BESB_000030	2214	737	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	47748	51215	-							BESB_000040	3468		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	47748	51215	-			PFH37662.1	hypothetical protein			BESB_000040	3468		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	47748	51215	-	PFH37662.1			hypothetical protein			BESB_000040	3468	1155	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	53662	57055	-							BESB_000050	3394		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	53662	57055	-			PFH37663.1	hypothetical protein			BESB_000050	2910		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	53662	57055	-	PFH37663.1			hypothetical protein			BESB_000050	2910	969	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	59025	60038	+							BESB_000060	1014		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	59025	60038	+			PFH37664.1	hypothetical protein			BESB_000060	1014		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	59025	60038	+	PFH37664.1			hypothetical protein			BESB_000060	1014	337	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	60061	65023	+							BESB_000070	4963		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	60061	65023	+			PFH37665.1	hypothetical protein			BESB_000070	4386		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	60061	65023	+	PFH37665.1			hypothetical protein			BESB_000070	4386	1461	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	66308	79914	-							BESB_000080	13607		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	66308	79914	-			PFH37666.1	flagellar associated protein			BESB_000080	2826		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	66308	79914	-	PFH37666.1			flagellar associated protein			BESB_000080	2826	941	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	84773	93599	+							BESB_000090	8827		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	84773	93599	+			PFH37667.1	hypothetical protein			BESB_000090	8352		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	84773	93599	+	PFH37667.1			hypothetical protein			BESB_000090	8352	2783	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	95810	100874	-							BESB_000100	5065		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	95810	100874	-			PFH37668.1	DEAD/DEAH box helicase domain-containing protein			BESB_000100	2919		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	95810	100874	-	PFH37668.1			DEAD/DEAH box helicase domain-containing protein			BESB_000100	2919	972	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	102332	103469	-							BESB_000110	1138		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	102332	103469	-			PFH37669.1	hypothetical protein			BESB_000110	894		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	102332	103469	-	PFH37669.1			hypothetical protein			BESB_000110	894	297	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	105259	124291	-							BESB_000120	19033		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	105259	124291	-			PFH37670.1	hypothetical protein			BESB_000120	17997		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	105259	124291	-	PFH37670.1			hypothetical protein			BESB_000120	17997	5998	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	126653	130456	-							BESB_000130	3804		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	126653	130456	-			PFH37671.1	hypothetical protein			BESB_000130	2118		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	126653	130456	-	PFH37671.1			hypothetical protein			BESB_000130	2118	705	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	132666	135885	-							BESB_000140	3220		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	132666	135885	-			PFH37672.1	hypothetical protein			BESB_000140	822		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	132666	135885	-	PFH37672.1			hypothetical protein			BESB_000140	822	273	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	136830	144909	+							BESB_000150	8080		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	136830	144909	+			PFH37673.1	hypothetical protein			BESB_000150	5607		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	136830	144909	+	PFH37673.1			hypothetical protein			BESB_000150	5607	1868	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	148823	149769	+							BESB_000160	947		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	148823	149769	+			PFH37674.1	hypothetical protein			BESB_000160	216		partial
CDS	with_protein	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	148823	149769	+	PFH37674.1			hypothetical protein			BESB_000160	216	71	
gene	protein_coding	GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	151849	166379	+							BESB_000170	14531		partial
mRNA		GCA_002563875.1	Primary Assembly	chromosome	I	CM008346.1	151849	166379	+			PFH37675.1	hypothetical protein			BESB_000170	9117		partial
