# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	4340	5909	-							EBH_0000010	1570		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	4340	5909	-	CDJ45598.1			hypothetical protein, conserved			EBH_0000010	1011	336	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	10936	12415	-							EBH_0011120	1480		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	10936	12415	-	CDJ45599.1			SAG family member			EBH_0011120	777	258	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	14510	15986	-							EBH_0022230	1477		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	14510	15986	-	CDJ45600.1			SAG family member			EBH_0022230	780	259	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	18090	19571	-							EBH_0033340	1482		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	18090	19571	-	CDJ45601.1			SAG family member			EBH_0033340	786	261	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	22413	23879	-							EBH_0044450	1467		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	22413	23879	-	CDJ45602.1			SAG family member			EBH_0044450	783	260	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	25968	27410	-							EBH_0055560	1443		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	25968	27410	-	CDJ45603.1			SAG family member			EBH_0055560	777	258	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	29430	30788	-							EBH_0066670	1359		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	29430	30788	-	CDJ45604.1			SAG family member			EBH_0066670	690	229	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	32975	34426	-							EBH_0077780	1452		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	32975	34426	-	CDJ45605.1			SAG family member			EBH_0077780	705	234	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	37369	38849	-							EBH_0086010	1481		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	37369	38849	-	CDJ45606.1			SAG family member			EBH_0086010	780	259	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	44496	46503	-							EBH_0000020	2008		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	44496	46503	-	CDJ45607.1			SAG family member			EBH_0000020	747	248	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	47968	49448	-							EBH_0001130	1481		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	47968	49448	-	CDJ45608.1			SAG family member			EBH_0001130	852	283	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	52053	53523	-							EBH_0002240	1471		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	52053	53523	-	CDJ45609.1			SAG family member			EBH_0002240	804	267	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	56025	57431	-							EBH_0003350	1407		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	56025	57431	-	CDJ45610.1			SAG family member			EBH_0003350	777	258	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	58705	60086	-							EBH_0004460	1382		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	58705	60086	-	CDJ45611.1			SAG family member			EBH_0004460	678	225	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	62612	64151	-							EBH_0005570	1540		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	62612	64151	-	CDJ45612.1			SAG family member			EBH_0005570	819	272	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	71015	72523	-							EBH_0006680	1509		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	71015	72523	-	CDJ45613.1			SAG family member			EBH_0006680	822	273	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	78817	80343	-							EBH_0007790	1527		
CDS	with_protein	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	78817	80343	-	CDJ45614.1			SAG family member			EBH_0007790	828	275	
gene	protein_coding	GCA_000499725.1	Primary Assembly	unplaced scaffold		HG710173.1	89891	91347	-							EBH_0008900	1457		
