# Species	Genes	Alg.-Conn.	GCA_000499725.1_EBH001_protein.faa	GCF_000499385.1_ENH001_protein.faa	GCF_000499425.1_EAH001_protein.faa	GCF_000499545.2_ETH001_protein.faa	GCF_000499605.1_EMW001_protein.faa
5	5	0.0381	CDJ50552.1	XP_013433110.1	XP_013250461.1	XP_013231495.1	XP_013333243.1
5	5	0.0478	CDJ47140.1	XP_013433002.1	XP_013252973.1	XP_013229450.1	XP_013335459.1
5	5	0.0471	CDJ47176.1	XP_013438905.1	XP_013249593.1	XP_013229404.1	XP_013338151.1
5	5	0.0102	CDJ52654.1	XP_013437794.1	XP_013252459.1	XP_013230278.1	XP_013333513.1
5	5	0.0254	CDJ47613.1	XP_013438718.1	XP_013253060.1	XP_013231022.1	XP_013337885.1
5	5	0.146	CDJ47460.1	XP_013436301.1	XP_013250232.1	XP_013234703.1	XP_013334313.1
5	5	0.0501	CDJ46443.1	XP_013438002.1	XP_013246515.1	XP_013233479.1	XP_013335626.1
5	5	0.0715	CDJ48418.1	XP_013435678.1	XP_013251872.1	XP_013228312.1	XP_013333098.1
5	5	0.0571	CDJ47034.1	XP_013434362.1	XP_013247250.1	XP_013228799.1	XP_013336455.1
5	5	0.0587	CDJ50006.1	XP_013439818.1	XP_013249975.1	XP_013231330.1	XP_013335717.1
5	5	0.0234	CDJ49962.1	XP_013433174.1	XP_013248554.1	XP_013235807.1	XP_013332950.1
5	5	0.0145	CDJ46178.1	XP_013437139.1	XP_013247657.1	XP_013229171.1	XP_013336448.1
5	5	0.0326	CDJ49565.1	XP_013439480.1	XP_013248970.1	XP_013234673.1	XP_013337754.1
5	5	0.0496	CDJ50236.1	XP_013438141.1	XP_013249479.1	XP_013231987.1	XP_013332792.1
5	5	0.0677	CDJ51817.1	XP_013438035.1	XP_013249073.1	XP_013228899.1	XP_013334392.1
5	5	0.0222	CDJ53054.1	XP_013435270.1	XP_013247430.1	XP_013230222.1	XP_013334005.1
3	5	0.159	*	XP_013435990.1,XP_013437667.1,XP_013439363.1	XP_013252897.1	*	XP_013332943.1
2	5	0.102	*	XP_013439789.1,XP_013438414.1,XP_013438997.1	*	XP_013234082.1,XP_013233772.1	*
5	5	0.0779	CDJ48032.1	XP_013432823.1	XP_013248712.1	XP_013229987.1	XP_013338120.1
5	5	0.0294	CDJ47769.1	XP_013440215.1	XP_013249673.1	XP_013230444.1	XP_013337287.1
5	5	0.0335	CDJ50864.1	XP_013437812.1	XP_013250621.1	XP_013230258.1	XP_013337121.1
5	5	0.0283	CDJ53842.1	XP_013440355.1	XP_013246626.1	XP_013235002.1	XP_013332985.1
5	5	0.0686	CDJ50725.1	XP_013437110.1	XP_013249911.1	XP_013233995.1	XP_013334013.1
5	5	0.0355	CDJ46022.1	XP_013432703.1	XP_013249623.1	XP_013229254.1	XP_013335048.1
4	4	0.133	*	XP_013433289.1	XP_013252383.1	XP_013228833.1	XP_013333140.1
5	5	0.0855	CDJ51859.1	XP_013440684.1	XP_013252374.1	XP_013230504.1	XP_013332866.1
4	4	0.101	CDJ50335.1	XP_013437284.1	XP_013252014.1	XP_013230929.1	*
4	4	0.0935	CDJ50221.1	XP_013434103.1	XP_013252215.1	XP_013230754.1	*
4	4	0.154	CDJ53250.1	XP_013438503.1	XP_013252303.1	*	XP_013334277.1
5	5	0.0879	CDJ52112.1	XP_013436940.1	XP_013251361.1	XP_013228203.1	XP_013335999.1
5	5	0.0286	CDJ46174.1	XP_013439976.1	XP_013252491.1	XP_013230806.1	XP_013335551.1
4	4	0.134	CDJ47404.1	XP_013434705.1	XP_013250110.1	XP_013232965.1	*
4	4	0.038	CDJ50495.1	XP_013439501.1	XP_013252526.1	XP_013229379.1	*
5	5	0.0547	CDJ52567.1	XP_013438188.1	XP_013250029.1	XP_013228617.1	XP_013337795.1
2	4	0.245	*	XP_013435953.1	*	XP_013232327.1,XP_013232735.1,XP_013232738.1	*
4	4	0.104	CDJ53080.1	XP_013439773.1	*	XP_013228088.1	XP_013334132.1
4	4	0.0994	CDJ50859.1	XP_013437817.1	XP_013250615.1	XP_013230253.1	*
5	5	0.0711	CDJ47926.1	XP_013435356.1	XP_013252971.1	XP_013229435.1	XP_013334516.1
4	4	0.0726	CDJ51890.1	*	XP_013249986.1	XP_013228877.1	XP_013334303.1
4	4	0.0661	CDJ48093.1	XP_013437589.1	XP_013250522.1	XP_013228292.1	*
4	4	0.079	CDJ50366.1	XP_013433298.1	XP_013251010.1	XP_013228825.1	*
4	4	0.207	CDJ54217.1	XP_013439977.1	XP_013249233.1	*	XP_013334250.1
5	5	0.0447	CDJ53112.1	XP_013440887.1	XP_013250372.1	XP_013229749.1	XP_013334431.1
5	5	0.0788	CDJ46880.1	XP_013439766.1	XP_013246812.1	XP_013228091.1	XP_013334137.1
4	4	0.0892	CDJ46155.1	XP_013437035.1	XP_013252745.1	*	XP_013333576.1
5	5	0.0488	CDJ46003.1	XP_013438469.1	XP_013251128.1	XP_013231815.1	XP_013336190.1
5	5	0.0269	CDJ53038.1	XP_013434251.1	XP_013253159.1	XP_013228658.1	XP_013333218.1
4	4	0.0956	CDJ48770.1	XP_013433652.1	XP_013251183.1	XP_013230150.1	*
4	4	0.134	*	XP_013435578.1	XP_013251152.1	XP_013231608.1	XP_013338300.1
4	4	0.135	CDJ52236.1	XP_013439039.1	*	XP_013229449.1	XP_013334743.1
4	4	0.146	CDJ52342.1	XP_013440305.1	XP_013249934.1	*	XP_013333873.1
4	4	0.112	CDJ52539.1	XP_013438880.1	XP_013250548.1	XP_013228104.1	*
5	5	0.0256	CDJ45962.1	XP_013438016.1	XP_013252296.1	XP_013232618.1	XP_013333749.1
5	5	0.117	CDJ46017.1	XP_013433207.1	XP_013251651.1	XP_013229561.1	XP_013334075.1
4	4	0.14	CDJ50244.1	*	XP_013248568.1	XP_013230881.1	XP_013337329.1
5	5	0.0664	CDJ48573.1	XP_013437399.1	XP_013250513.1	XP_013234482.1	XP_013334477.1
4	4	0.0228	*	XP_013440474.1	XP_013252329.1	XP_013232672.1	XP_013334111.1
5	5	0.0307	CDJ45830.1	XP_013437675.1	XP_013251122.1	XP_013230322.1	XP_013333552.1
4	4	0.0506	CDJ48955.1	XP_013438340.1	XP_013249107.1	*	XP_013334889.1
5	5	0.0419	CDJ48318.1	XP_013440934.1	XP_013253168.1	XP_013228562.1	XP_013337658.1
4	4	0.0374	*	XP_013432545.1	XP_013247161.1	XP_013228538.1	XP_013333277.1
4	4	0.1	CDJ49476.1	XP_013438834.1	XP_013248065.1	XP_013231726.1	*
5	5	0.0375	CDJ46166.1	XP_013438154.1	XP_013249283.1	XP_013229925.1	XP_013337571.1
5	5	0.0796	CDJ53039.1	XP_013438823.1	XP_013248569.1	XP_013232376.1	XP_013337330.1
4	4	0.0839	CDJ52969.1	XP_013436305.1	XP_013252376.1	*	XP_013337926.1
4	4	0.0749	CDJ45716.1	XP_013439338.1	XP_013248040.1	XP_013229726.1	*
