# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	1	2251	+							PGSY75_0102200	2251		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	1	2251	+			KYO03667.1	ring-infected erythrocyte surface antigen			PGSY75_0102200	2251		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	1	2251	+	KYO03667.1			ring-infected erythrocyte surface antigen			PGSY75_0102200	2251	749	partial
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	4901	5396	+							PGSY75_0102300	496		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	4901	5396	+			KYO03668.1	putative exported protein			PGSY75_0102300	354		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	4901	5396	+	KYO03668.1			putative exported protein			PGSY75_0102300	354	117	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	7561	8451	-							PGSY75_0102400	891		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	7561	7852	-			KYO03669.1	putative lysophospholipase			PGSY75_0102400	292		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	7561	7852	-	KYO03669.1			putative lysophospholipase			PGSY75_0102400	292	96	partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	7953	8451	-			KYO03670.1	putative lysophospholipase			PGSY75_0102400	499		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	7953	8451	-	KYO03670.1			putative lysophospholipase			PGSY75_0102400	499	166	partial
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	10695	15606	-							PGSY75_0102500	4912		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	10695	15606	-			KYO03671.1	erythrocyte binding antigen-181			PGSY75_0102500	4566		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	10695	15606	-	KYO03671.1			erythrocyte binding antigen-181			PGSY75_0102500	4566	1521	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	18877	21026	-							PGSY75_0102600	2150		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	18877	21026	-			KYO03672.1	serine/threonine protein kinase, FIKK family			PGSY75_0102600	1875		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	18877	21026	-	KYO03672.1			serine/threonine protein kinase, FIKK family			PGSY75_0102600	1875	624	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	23756	24732	+							PGSY75_0102700	977		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	23756	24732	+			KYO03673.1	putative merozoite-associated tryptophan-rich antigen			PGSY75_0102700	831		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	23756	24732	+	KYO03673.1			putative merozoite-associated tryptophan-rich antigen			PGSY75_0102700	831	276	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	25260	27053	-							PGSY75_0102800	1794		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	25260	27053	-			KYO03674.1	hypothetical protein			PGSY75_0102800	1794		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	25260	27053	-	KYO03674.1			hypothetical protein			PGSY75_0102800	1794	597	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	27923	29806	-							PGSY75_0102900	1884		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	27923	29806	-			KYO03675.1	aspartate--tRNA ligase			PGSY75_0102900	1884		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	27923	29806	-	KYO03675.1			aspartate--tRNA ligase			PGSY75_0102900	1884	627	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	30659	32240	-							PGSY75_0103000	1582		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	30659	32240	-			KYO03676.1	putative vacuolar protein sorting-associated protein VTA1			PGSY75_0103000	804		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	30659	32240	-	KYO03676.1			putative vacuolar protein sorting-associated protein VTA1			PGSY75_0103000	804	267	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	33004	37587	-							PGSY75_0103100	4584		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	33004	37587	-			KYO03677.1	putative vacuolar protein sorting-associated protein 51			PGSY75_0103100	4584		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	33004	37587	-	KYO03677.1			putative vacuolar protein sorting-associated protein 51			PGSY75_0103100	4584	1527	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	38973	40445	-							PGSY75_0103200	1473		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	38973	40445	-			KYO03678.1	nucleoside transporter 4			PGSY75_0103200	1305		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	38973	40445	-	KYO03678.1			nucleoside transporter 4			PGSY75_0103200	1305	434	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	41656	44253	-							PGSY75_0103300	2598		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	41656	44253	-			KYO03679.1	hypothetical protein			PGSY75_0103300	2598		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	41656	44253	-	KYO03679.1			hypothetical protein			PGSY75_0103300	2598	865	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	45554	49957	-							PGSY75_0103400	4404		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	45554	49957	-			KYO03680.1	putative zinc-carboxypeptidase			PGSY75_0103400	4404		partial
CDS	with_protein	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	45554	49957	-	KYO03680.1			putative zinc-carboxypeptidase			PGSY75_0103400	4404	1467	
gene	protein_coding	GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	51156	57305	+							PGSY75_0103500	6150		partial
mRNA		GCA_001602025.1	Primary Assembly	chromosome	1	CM003856.1	51156	57305	+			KYO03681.1	hypothetical protein			PGSY75_0103500	5289		partial
