# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000001.1	1	1210	-							KVP17_005344	1210		partial
mRNA		GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000001.1	1	1210	-			KAH0489095.1	hypothetical protein			KVP17_005344	1210		partial
CDS	with_protein	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000001.1	1	1210	-	KAH0489095.1			hypothetical protein			KVP17_005344	1210	403	partial
gene	protein_coding	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	1	754	+							KVP17_000435	754		partial
mRNA		GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	1	754	+			KAH0489084.1	hypothetical protein			KVP17_000435	754		partial
CDS	with_protein	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	1	754	+	KAH0489084.1			hypothetical protein			KVP17_000435	754	250	partial
mRNA		GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	128	754	+			KAH0489083.1	hypothetical protein			KVP17_000435	627		
CDS	with_protein	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	128	754	+	KAH0489083.1			hypothetical protein			KVP17_000435	627	208	
gene	protein_coding	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	761	1793	-							KVP17_000438	1033		
mRNA		GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	761	1793	-			KAH0489092.1	hypothetical protein			KVP17_000438	1005		
CDS	with_protein	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	761	1793	-	KAH0489092.1			hypothetical protein			KVP17_000438	1005	334	
mRNA		GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	761	1567	-			KAH0489091.1	hypothetical protein			KVP17_000438	807		
CDS	with_protein	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	761	1567	-	KAH0489091.1			hypothetical protein			KVP17_000438	807	268	
gene	protein_coding	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	1835	4352	-							KVP17_000436	2518		
mRNA		GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	1835	4352	-			KAH0489086.1	hypothetical protein			KVP17_000436	2490		
CDS	with_protein	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	1835	4352	-	KAH0489086.1			hypothetical protein			KVP17_000436	2490	829	
mRNA		GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	1835	3805	-			KAH0489085.1	hypothetical protein			KVP17_000436	1971		
CDS	with_protein	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	1835	3805	-	KAH0489085.1			hypothetical protein			KVP17_000436	1971	656	
mRNA		GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	4008	4352	-			KAH0489087.1	hypothetical protein			KVP17_000436	345		
CDS	with_protein	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	4008	4352	-	KAH0489087.1			hypothetical protein			KVP17_000436	345	114	
gene	protein_coding	GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	4484	5984	+							KVP17_000437	1501		
mRNA		GCA_019968985.1	Primary Assembly	unplaced scaffold		JAHYSF010000002.1	4484	5984	+			KAH0489088.1	hypothetical protein			KVP17_000437	1470		
