# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	145	3085	+							ENH_00000250	2941		partial
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	145	3085	+	CDJ61976.1			hypothetical protein			ENH_00000250	1547	514	partial
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	5748	11244	-							ENH_00000260	5497		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	5748	11244	-	CDJ61977.1			krr1 family, zinc finger-containing protein, putative			ENH_00000260	1965	654	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	11366	11833	+							ENH_00000270	468		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	11366	11833	+	CDJ61978.1			hypothetical protein			ENH_00000270	468	155	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	13545	15816	+							ENH_00086280	2272		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	13545	15816	+	CDJ61979.1			elongation factor 1, putative			ENH_00086280	576	191	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	16837	20523	-							ENH_00000290	3687		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	16837	20523	-	CDJ61980.1			serine/threonine protein phosphatase, putative			ENH_00000290	375	124	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	20755	21719	+							ENH_00000300	965		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	20755	21719	+	CDJ61981.1			hypothetical protein			ENH_00000300	669	222	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	27459	27980	+							ENH_00000310	522		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	27459	27980	+	CDJ61982.1			hypothetical protein, conserved			ENH_00000310	522	173	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	30451	32682	+							ENH_00000320	2227		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	30451	32682	+	CDJ61983.1			hypothetical protein, conserved			ENH_00000320	2124	707	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	32386	32682	+							ENH_00000330	297		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	32386	32682	+	CDJ61984.1			hypothetical protein, conserved			ENH_00000330	297	98	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	39074	39613	-							ENH_00000340	540		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	39074	39613	-	CDJ61985.1			hypothetical protein, conserved			ENH_00000340	255	84	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	40940	46332	-							ENH_00000350	5393		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	40940	46332	-	CDJ61986.1			eukaryotic translation initiation factor 2A, putative			ENH_00000350	1890	629	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	46956	49211	+							ENH_00000360	2256		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	46956	49211	+	CDJ61987.1			nuclear movement domain-containing protein, putative			ENH_00000360	1383	460	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	51876	55640	+							ENH_00000370	3765		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	51876	55640	+	CDJ61988.1			kelch motif domain-containing protein, putative			ENH_00000370	1803	600	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	57189	60938	+							ENH_00000380	3750		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	57189	60938	+	CDJ61989.1			hypothetical protein, conserved			ENH_00000380	3750	1249	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	62708	63422	+							ENH_00000390	715		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	62708	63422	+	CDJ61990.1			cyclic nucleotide-binding domain containing protein, putative			ENH_00000390	504	167	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	67211	68915	-							ENH_00000400	1705		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	67211	68915	-	CDJ61991.1			hypothetical protein, conserved			ENH_00000400	1050	349	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	69626	69976	-							ENH_00000410	351		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	69626	69976	-	CDJ61992.1			hypothetical protein, conserved			ENH_00000410	348	115	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	70941	72218	-							ENH_00000420	1278		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	70941	72218	-	CDJ61993.1			hypothetical protein, conserved			ENH_00000420	333	110	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	74530	75003	+							ENH_00000430	474		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	74530	75003	+	CDJ61994.1			hypothetical protein, conserved			ENH_00000430	474	157	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	75875	79900	+							ENH_00000440	4026		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	75875	79900	+	CDJ61995.1			nucleosome assembly protein, putative			ENH_00000440	2259	752	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	80939	82941	-							ENH_00000450	2003		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	80939	82941	-	CDJ61996.1			hypothetical protein, conserved			ENH_00000450	1833	610	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	84274	87029	+							ENH_00000460	2756		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	84274	87029	+	CDJ61997.1			ubiquitin-conjugating enzyme e2, putative			ENH_00000460	678	225	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	87118	90032	-							ENH_00000470	2915		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	87118	90032	-	CDJ61998.1			hypothetical protein, conserved			ENH_00000470	1884	627	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	90537	92067	+							ENH_00000480	1531		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	90537	92067	+	CDJ61999.1			hypothetical protein, conserved			ENH_00000480	1527	508	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	94542	96731	-							ENH_00000490	2190		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	94542	96731	-	CDJ62000.1			hypothetical protein, conserved			ENH_00000490	2190	729	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	99312	100933	+							ENH_00000500	1622		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722312.1	99312	100933	+	CDJ62001.1			OSJNBa0074B10.8 protein, related			ENH_00000500	1566	521	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722314.1	212	10505	+							ENH_00000120	10294		partial
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722314.1	212	10505	+	CDJ62002.1			hypothetical protein, conserved			ENH_00000120	3614	1203	partial
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722315.1	2961	5788	-							ENH_00000160	2828		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722315.1	2961	5788	-	CDJ62003.1			sulfate transporter, putative			ENH_00000160	1299	432	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722315.1	8161	12593	-							ENH_00000170	4433		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722315.1	8161	12593	-	CDJ62004.1			protein inhibitor of activated STAT protein, putative			ENH_00000170	3078	1025	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722315.1	12845	13213	+							ENH_00000180	369		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722315.1	12845	13213	+	CDJ62005.1			hypothetical protein			ENH_00000180	369	122	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722320.1	4670	6394	-							ENH_00000850	1725		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722320.1	4670	6394	-	CDJ62006.1			hypothetical protein			ENH_00000850	1524	507	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722320.1	8888	9364	-							ENH_00000860	477		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722320.1	8888	9364	-	CDJ62007.1			hypothetical protein			ENH_00000860	477	158	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722320.1	9912	10546	-							ENH_00000870	635		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722320.1	9912	10546	-	CDJ62008.1			hypothetical protein			ENH_00000870	588	195	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	380	7208	-							ENH_00001280	6829		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	380	7208	-	CDJ62009.1			Protein kinase domain protein , related			ENH_00001280	2148	715	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	9088	19629	-							ENH_00001290	10542		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	9088	19629	-	CDJ62010.1			hypothetical protein, conserved			ENH_00001290	6234	2077	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	24106	40430	+							ENH_00001300	16325		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	24106	40430	+	CDJ62011.1			hypothetical protein			ENH_00001300	5280	1759	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	40960	41133	+							ENH_00001310	174		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	40960	41133	+	CDJ62012.1			hypothetical protein, conserved			ENH_00001310	174	57	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	41386	50304	+							ENH_00001320	8919		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	41386	50304	+	CDJ62013.1			hypothetical protein			ENH_00001320	4971	1656	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	51119	51911	+							ENH_00001330	793		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	51119	51911	+	CDJ62014.1			Dynein heavy chain 11, axonemal, related			ENH_00001330	669	222	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	52006	55051	+							ENH_00001340	3046		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	52006	55051	+	CDJ62015.1			hypothetical protein			ENH_00001340	1551	516	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	58123	59659	+							ENH_00001350	1537		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	58123	59659	+	CDJ62016.1			hypothetical protein, conserved			ENH_00001350	675	224	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	60747	62555	-							ENH_00001360	1809		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	60747	62555	-	CDJ62017.1			hypothetical protein, conserved			ENH_00001360	1809	602	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	64453	65134	+							ENH_00001370	682		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	64453	65134	+	CDJ62018.1			hypothetical protein, conserved			ENH_00001370	264	87	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	67872	69929	+							ENH_00001380	2058		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	67872	69929	+	CDJ62019.1			hypothetical protein, conserved			ENH_00001380	2058	685	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	70221	70924	+							ENH_00001390	704		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	70221	70924	+	CDJ62020.1			hypothetical protein			ENH_00001390	474	157	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	71794	72105	+							ENH_00001400	312		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	71794	72105	+	CDJ62021.1			hypothetical protein, conserved			ENH_00001400	312	103	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	72580	77865	+							ENH_00001410	5286		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	72580	77865	+	CDJ62022.1			hypothetical protein, conserved			ENH_00001410	2172	723	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	78801	81759	+							ENH_00001420	2959		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722322.1	78801	81759	+	CDJ62023.1			leucine rich repeat protein, putative			ENH_00001420	1485	494	
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722323.1	166	1618	+							ENH_00001150	1453		partial
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722323.1	166	1618	+	CDJ62024.1			hypothetical protein			ENH_00001150	295	97	partial
gene	protein_coding	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722323.1	9913	10308	-							ENH_00001160	396		
CDS	with_protein	GCA_000499385.1	Primary Assembly	unplaced scaffold		HG722323.1	9913	10308	-	CDJ62025.1			hypothetical protein, conserved			ENH_00001160	396	131	
