# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	1028	1783	-							cubi_02672	756		
mRNA		GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	1028	1783	-			OII73870.1	hypothetical protein			cubi_02672	756		
CDS	with_protein	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	1028	1783	-	OII73870.1			hypothetical protein			cubi_02672	756	251	
gene	protein_coding	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	5104	7416	-							cubi_02673	2313		
mRNA		GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	5104	7416	-			OII73871.1	hypothetical protein			cubi_02673	2313		
CDS	with_protein	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	5104	7416	-	OII73871.1			hypothetical protein			cubi_02673	2313	770	
gene	protein_coding	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	8550	10886	+							cubi_02674	2337		
mRNA		GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	8550	10886	+			OII73872.1	hypothetical protein			cubi_02674	2337		
CDS	with_protein	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	8550	10886	+	OII73872.1			hypothetical protein			cubi_02674	2337	778	
gene	protein_coding	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	10927	11736	-							cubi_02675	810		
mRNA		GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	10927	11736	-			OII73873.1	hypothetical protein			cubi_02675	720		
CDS	with_protein	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	10927	11736	-	OII73873.1			hypothetical protein			cubi_02675	720	239	
gene	protein_coding	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	12261	19691	+							cubi_02676	7431		
mRNA		GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	12261	19691	+			OII73874.1	hypothetical protein			cubi_02676	7431		
CDS	with_protein	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	12261	19691	+	OII73874.1			hypothetical protein			cubi_02676	7431	2476	
gene	protein_coding	GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	19836	22283	-							cubi_02677	2448		
mRNA		GCA_001865345.1	Primary Assembly	unplaced scaffold		LRBP01000013.1	19836	22283	-			OII73875.1	calcium-dependent protein kinase			cubi_02677	2448		
