# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	2412	3487	-							PY17X_0100005	1076		pseudo;pseudogene
CDS	without_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	2412	3487	-							PY17X_0100005	849		pseudo;pseudogene
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	6006	7085	-							PY17X_0100009	1080		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	6006	7085	-	VTZ71402.1			PIR protein			PY17X_0100009	885	294	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	9741	10822	-							PY17X_0100013	1082		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	9741	10822	-	VTZ71403.1			PIR protein			PY17X_0100013	867	288	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	13739	14626	-							PY17X_0100017	888		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	13739	14626	-	VTZ71404.1			fam-b protein			PY17X_0100017	759	252	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	16849	18129	-							PY17X_0100021	1281		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	16849	18129	-	VTZ71405.1			PIR protein			PY17X_0100021	1068	355	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	21545	22832	+							PY17X_0100025	1288		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	21545	22832	+	VTZ71406.1			fam-a protein			PY17X_0100025	870	289	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	23841	24958	-							PY17X_0100029	1118		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	23841	24958	-	VTZ71407.1			PIR protein			PY17X_0100029	924	307	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	27257	28378	-							PY17X_0100033	1122		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	27257	28378	-	VTZ71408.1			PIR protein			PY17X_0100033	900	299	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	31178	32404	-							PY17X_0100037	1227		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	31178	32404	-	VTZ71409.1			PIR protein			PY17X_0100037	987	328	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	34700	35729	-							PY17X_0100041	1030		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	34700	35729	-	VTZ71410.1			PIR protein			PY17X_0100041	825	274	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	37999	39103	-							PY17X_0100045	1105		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	37999	39103	-	VTZ71411.1			PIR protein			PY17X_0100045	876	291	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	41393	42563	-							PY17X_0100049	1171		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	41393	42563	-	VTZ71412.1			PIR protein			PY17X_0100049	933	310	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	45403	46460	-							PY17X_0100053	1058		
CDS	with_protein	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	45403	46460	-	VTZ71413.1			PIR protein			PY17X_0100053	840	279	
gene	protein_coding	GCA_900002385.2	Primary Assembly	chromosome	1	LM993655.2	49529	50704	-							PY17X_0100059	1176		
