# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	1630	1962	+							AK88_00001	333		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	1630	1962	+			KJP90153.1	hypothetical protein			AK88_00001	333		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	1630	1962	+	KJP90153.1			hypothetical protein			AK88_00001	333	110	partial
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	2522	5149	-							AK88_00002	2628		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	2522	5149	-			KJP90154.1	threonine-tRNA ligase			AK88_00002	2628		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	2522	5149	-	KJP90154.1			threonine-tRNA ligase			AK88_00002	2628	875	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	6359	9914	-							AK88_00003	3556		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	6359	9914	-			KJP90155.1	hypothetical protein			AK88_00003	3438		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	6359	9914	-	KJP90155.1			hypothetical protein			AK88_00003	3438	1145	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	11391	12135	-							AK88_00004	745		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	11391	12135	-			KJP90156.1	hypothetical protein			AK88_00004	471		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	11391	12135	-	KJP90156.1			hypothetical protein			AK88_00004	471	156	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	15003	17570	+							AK88_00005	2568		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	15003	17570	+			KJP90157.1	hypothetical protein			AK88_00005	1869		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	15003	17570	+	KJP90157.1			hypothetical protein			AK88_00005	1869	622	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	18488	19673	+							AK88_00006	1186		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	18488	19673	+			KJP90158.1	hypothetical protein			AK88_00006	870		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	18488	19673	+	KJP90158.1			hypothetical protein			AK88_00006	870	289	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	21049	24930	+							AK88_00007	3882		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	21049	24930	+			KJP90159.1	hypothetical protein			AK88_00007	3882		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	21049	24930	+	KJP90159.1			hypothetical protein			AK88_00007	3882	1293	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	25749	27650	-							AK88_00008	1902		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	25749	27650	-			KJP90160.1	hypothetical protein			AK88_00008	1902		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	25749	27650	-	KJP90160.1			hypothetical protein			AK88_00008	1902	633	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	30083	35369	-							AK88_00009	5287		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	30083	35369	-			KJP90161.1	hypothetical protein			AK88_00009	2712		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	30083	35369	-	KJP90161.1			hypothetical protein			AK88_00009	2712	903	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	39414	42026	+							AK88_00010	2613		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	39414	42026	+			KJP90162.1	hypothetical protein			AK88_00010	2613		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	39414	42026	+	KJP90162.1			hypothetical protein			AK88_00010	2613	870	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	42779	43549	-							AK88_00011	771		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	42779	43549	-			KJP90163.1	hypothetical protein			AK88_00011	261		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	42779	43549	-	KJP90163.1			hypothetical protein			AK88_00011	261	86	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	46614	48383	-							AK88_00012	1770		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	46614	48383	-			KJP90164.1	hypothetical protein			AK88_00012	849		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	46614	48383	-	KJP90164.1			hypothetical protein			AK88_00012	849	282	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	51382	51933	-							AK88_00013	552		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	51382	51933	-			KJP90165.1	hypothetical protein			AK88_00013	552		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	51382	51933	-	KJP90165.1			hypothetical protein			AK88_00013	552	183	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	53954	54309	+							AK88_00014	356		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	53954	54309	+			KJP90166.1	hypothetical protein			AK88_00014	213		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	53954	54309	+	KJP90166.1			hypothetical protein			AK88_00014	213	70	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	54897	55730	-							AK88_00015	834		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	54897	55730	-			KJP90167.1	tRNA (guanine-N(7)-)-methyltransferase			AK88_00015	834		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	54897	55730	-	KJP90167.1			tRNA (guanine-N(7)-)-methyltransferase			AK88_00015	834	277	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	57018	57818	+							AK88_00016	801		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	57018	57818	+			KJP90168.1	hypothetical protein			AK88_00016	471		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	57018	57818	+	KJP90168.1			hypothetical protein			AK88_00016	471	156	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	59018	61107	+							AK88_00017	2090		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	59018	61107	+			KJP90169.1	hypothetical protein			AK88_00017	723		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	59018	61107	+	KJP90169.1			hypothetical protein			AK88_00017	723	240	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	65068	65355	+							AK88_00018	288		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	65068	65355	+			KJP90170.1	hypothetical protein			AK88_00018	192		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	65068	65355	+	KJP90170.1			hypothetical protein			AK88_00018	192	63	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	72031	77951	+							AK88_00019	5921		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	72031	77951	+			KJP90171.1	hypothetical protein			AK88_00019	1308		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	72031	77951	+	KJP90171.1			hypothetical protein			AK88_00019	1308	435	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	78461	80083	-							AK88_00020	1623		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	78461	80083	-			KJP90172.1	hypothetical protein			AK88_00020	1260		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	78461	80083	-	KJP90172.1			hypothetical protein			AK88_00020	1260	419	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	80936	84961	-							AK88_00021	4026		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	80936	84961	-			KJP90173.1	hypothetical protein			AK88_00021	4026		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	80936	84961	-	KJP90173.1			hypothetical protein			AK88_00021	4026	1341	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	89507	91002	-							AK88_00022	1496		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	89507	91002	-			KJP90174.1	hypothetical protein			AK88_00022	1194		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	89507	91002	-	KJP90174.1			hypothetical protein			AK88_00022	1194	397	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	96391	103256	+							AK88_00023	6866		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	96391	103256	+			KJP90175.1	hypothetical protein			AK88_00023	6411		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	96391	103256	+	KJP90175.1			hypothetical protein			AK88_00023	6411	2136	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	103888	108181	+							AK88_00024	4294		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	103888	108181	+			KJP90176.1	hypothetical protein			AK88_00024	2442		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	103888	108181	+	KJP90176.1			hypothetical protein			AK88_00024	2442	813	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	108622	109673	-							AK88_00025	1052		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	108622	109673	-			KJP90177.1	prefoldin, alpha subunit			AK88_00025	741		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	108622	109673	-	KJP90177.1			prefoldin, alpha subunit			AK88_00025	741	246	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	111068	111478	+							AK88_00026	411		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	111068	111478	+			KJP90178.1	hypothetical protein			AK88_00026	411		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	111068	111478	+	KJP90178.1			hypothetical protein			AK88_00026	411	136	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	111851	116521	-							AK88_00027	4671		partial
mRNA		GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	111851	116521	-			KJP90179.1	diphosphate-fructose-6-phosphate 1-phosphotransferase			AK88_00027	4008		partial
CDS	with_protein	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	111851	116521	-	KJP90179.1			diphosphate-fructose-6-phosphate 1-phosphotransferase			AK88_00027	4008	1335	
gene	protein_coding	GCA_000956335.1	Primary Assembly	unplaced scaffold		KQ001645.1	117865	120179	-							AK88_00028	2315		partial
