# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	408	1379	-					PmUG01_01010100		PMUG01_01010100	972		
CDS	with_protein	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	408	1379	-	SBT86814.1			fam-l protein	PmUG01_01010100		PMUG01_01010100	846	281	
gene	protein_coding	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	3889	4754	-					PmUG01_01010200		PMUG01_01010200	866		
CDS	with_protein	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	3889	4754	-	SBT86815.1			fam-m protein	PmUG01_01010200		PMUG01_01010200	747	248	
gene	pseudogene	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	9323	10153	+					PmUG01_01010300		PMUG01_01010300	831		pseudo
CDS	without_protein	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	9323	10153	+					PmUG01_01010300		PMUG01_01010300	684		pseudo
gene	pseudogene	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	14354	15353	+					PmUG01_01010400		PMUG01_01010400	1000		pseudo
CDS	without_protein	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	14354	15353	+					PmUG01_01010400		PMUG01_01010400	843		pseudo
gene	protein_coding	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	18066	18955	-					PmUG01_01010500		PMUG01_01010500	890		
CDS	with_protein	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	18066	18955	-	SBT86818.1			Plasmodium exported protein, unknown function	PmUG01_01010500		PMUG01_01010500	768	255	
gene	protein_coding	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	22728	23685	-					PmUG01_01010600		PMUG01_01010600	958		
CDS	with_protein	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	22728	23685	-	SBT86819.1			fam-l protein	PmUG01_01010600		PMUG01_01010600	828	275	
gene	protein_coding	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	25673	26632	-					PmUG01_01010700		PMUG01_01010700	960		
CDS	with_protein	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	25673	26632	-	SBT86820.1			Plasmodium exported protein, unknown function	PmUG01_01010700		PMUG01_01010700	831	276	
gene	pseudogene	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	29516	30363	-					PmUG01_01010800		PMUG01_01010800	848		pseudo
CDS	without_protein	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	29516	30363	-					PmUG01_01010800		PMUG01_01010800	675		pseudo
gene	pseudogene	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	33103	33725	-					PmUG01_01010900		PMUG01_01010900	623		pseudo
CDS	without_protein	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	33103	33725	-					PmUG01_01010900		PMUG01_01010900	609		pseudo
gene	protein_coding	GCA_900090045.1	Primary Assembly	chromosome	1	LT594622.1	37782	38635	-					PmUG01_01011000		PMUG01_01011000	854		
