# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	2352	4494	+							PVX_087665	2143		pseudo
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	8396	10210	+							PVX_087670	1815		
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	8396	10210	+			EDL43668.1	hypothetical protein, conserved			PVX_087670	1334		
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	9352	9696	+	EDL43668.1			hypothetical protein, conserved			PVX_087670	345	114	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	12445	14619	-							PVX_087675	2175		
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	12445	14619	-			EDL43669.1	hypothetical protein, conserved			PVX_087675	1618		
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	13092	13602	-	EDL43669.1			hypothetical protein, conserved			PVX_087675	333	110	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	23278	25230	+							PVX_087680	1953		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	23278	25230	+			EDL43670.1	chitinase			PVX_087680	1953		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	23278	25230	+	EDL43670.1			chitinase			PVX_087680	1953	650	
gene	tRNA	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	30221	30293	-							PVX_087682	73		
tRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	30221	30293	-				tRNA-Ala			PVX_087682	73		
gene	tRNA	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	30859	30942	+							PVX_087684	84		
tRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	30859	30942	+				tRNA-Tyr			PVX_087684	84		
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	31271	33154	-							PVX_087685	1884		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	31271	33154	-			EDL43671.1	hypothetical protein, conserved			PVX_087685	1304		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	31271	32174	-	EDL43671.1			hypothetical protein, conserved			PVX_087685	324	107	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	33831	39329	+							PVX_087690	5499		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	33831	39329	+			EDL43672.1	hypothetical protein, conserved			PVX_087690	5499		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	33831	39329	+	EDL43672.1			hypothetical protein, conserved			PVX_087690	5499	1832	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	40277	40813	+							PVX_087695	537		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	40277	40813	+			EDL43673.1	hypothetical protein, conserved			PVX_087695	537		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	40277	40813	+	EDL43673.1			hypothetical protein, conserved			PVX_087695	537	178	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	41969	45952	-							PVX_087700	3984		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	41969	45952	-			EDL43674.1	hypothetical protein, conserved			PVX_087700	3984		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	41969	45952	-	EDL43674.1			hypothetical protein, conserved			PVX_087700	3984	1327	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	47605	48036	+							PVX_087705	432		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	47605	48036	+			EDL43675.1	hypothetical protein, conserved			PVX_087705	432		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	47605	48036	+	EDL43675.1			hypothetical protein, conserved			PVX_087705	432	143	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	49128	51189	-							PVX_087710	2062		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	49128	51189	-			EDL43676.1	hypothetical protein, conserved			PVX_087710	2062		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	49128	51065	-	EDL43676.1			hypothetical protein, conserved			PVX_087710	1938	645	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	56153	63097	+							PVX_087715	6945		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	56153	63097	+			EDL43677.1	hypothetical protein, conserved			PVX_087715	6945		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	56153	63097	+	EDL43677.1			hypothetical protein, conserved			PVX_087715	6945	2314	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	65242	67578	+							PVX_087720	2337		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	65242	67578	+			EDL43678.1	hypothetical protein, conserved			PVX_087720	1136		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	65649	67578	+	EDL43678.1			hypothetical protein, conserved			PVX_087720	729	242	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	68590	69543	-							PVX_087725	954		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	68590	69543	-			EDL43679.1	hypothetical protein, conserved			PVX_087725	954		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	68590	69204	-	EDL43679.1			hypothetical protein, conserved			PVX_087725	615	204	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	71910	75529	+							PVX_087730	3620		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	71910	75529	+			EDL43680.1	hypothetical protein, conserved			PVX_087730	3620		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	72281	75529	+	EDL43680.1			hypothetical protein, conserved			PVX_087730	3249	1082	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	76451	88555	-							PVX_087735	12105		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	76451	88555	-			EDL43681.1	hypothetical protein, conserved			PVX_087735	12105		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	76451	88555	-	EDL43681.1			hypothetical protein, conserved			PVX_087735	12105	4034	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	89733	99374	-							PVX_087740	9642		
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	89733	99374	-			EDL43682.1	hypothetical protein, conserved			PVX_087740	9642		
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	90014	99022	-	EDL43682.1			hypothetical protein, conserved			PVX_087740	9009	3002	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	101419	112548	+							PVX_087745	11130		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	101419	112548	+			EDL43683.1	hypothetical protein, conserved			PVX_087745	11130		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	102121	112548	+	EDL43683.1			hypothetical protein, conserved			PVX_087745	10428	3475	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	113347	116697	-							PVX_087750	3351		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	113347	116697	-			EDL43684.1	hypothetical protein, conserved			PVX_087750	3351		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	113347	116697	-	EDL43684.1			hypothetical protein, conserved			PVX_087750	3351	1116	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	119705	124640	+							PVX_087755	4936		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	119705	124640	+			EDL43685.1	hypothetical protein, conserved			PVX_087755	4923		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	119705	124640	+	EDL43685.1			hypothetical protein, conserved			PVX_087755	4923	1640	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	127878	130599	+							PVX_087760	2722		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	127878	130599	+			EDL43686.1	WD domain, G-beta repeat domain containing protein			PVX_087760	2722		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	127878	130295	+	EDL43686.1			WD domain, G-beta repeat domain containing protein			PVX_087760	2418	805	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	131139	134894	-							PVX_087765	3756		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	131139	134894	-			EDL43687.1	calcium-dependent protein kinase 3, putative			PVX_087765	3756		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	131139	134894	-	EDL43687.1			calcium-dependent protein kinase 3, putative			PVX_087765	3756	1251	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	137020	150030	-							PVX_087775	13011		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	137020	150030	-			EDL43688.1	hypothetical protein			PVX_087775	11562		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	137020	150030	-	EDL43688.1			hypothetical protein			PVX_087775	11562	3853	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	155430	159395	+							PVX_087780	3966		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	155430	159395	+			EDL43689.1	hypothetical protein, conserved			PVX_087780	3966		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	155430	159395	+	EDL43689.1			hypothetical protein, conserved			PVX_087780	3966	1321	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	160057	163869	-							PVX_087785	3813		partial
mRNA		GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	160057	163869	-			EDL43690.1	hypothetical protein, conserved			PVX_087785	3813		partial
CDS	with_protein	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	160057	163869	-	EDL43690.1			hypothetical protein, conserved			PVX_087785	3813	1270	
gene	protein_coding	GCA_000002415.2	Primary Assembly	chromosome	1	CM000442.1	165061	166065	-							PVX_087790	1005		partial
