# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	10836	13724	-							TGME49_287280	2889		partial;old_locus_tag=TGME49_092710,TGME49_092810
mRNA		GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	10836	13724	-			EPT32709.1	Toxoplasma gondii family C protein			TGME49_287280	1136		partial
CDS	with_protein	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	10836	13266	-	EPT32709.1			Toxoplasma gondii family C protein			TGME49_287280	678	225	
gene	protein_coding	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	18521	26575	+							TGME49_292920	8055		old_locus_tag=TGME49_092920
mRNA		GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	18521	26575	+			EPT32708.1	heat shock protein 75, putative			TGME49_292920	3204		
CDS	with_protein	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	18785	26221	+	EPT32708.1			heat shock protein 75, putative			TGME49_292920	2586	861	
gene	protein_coding	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	26819	35049	-							TGME49_292935	8231		partial;old_locus_tag=TGME49_092930,TGME49_092940
mRNA		GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	26819	35049	-			EPT32707.1	hypothetical protein			TGME49_292935	2544		partial
CDS	with_protein	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	26819	35049	-	EPT32707.1			hypothetical protein			TGME49_292935	2544	847	
gene	protein_coding	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	36664	43081	-							TGME49_292950	6418		partial;old_locus_tag=TGME49_092950
mRNA		GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	36664	43081	-			EPT32706.1	hypothetical protein			TGME49_292950	6418		partial
CDS	with_protein	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	37142	43081	-	EPT32706.1			hypothetical protein			TGME49_292950	5940	1979	
gene	protein_coding	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	45578	50969	-							TGME49_292960	5392		old_locus_tag=TGME49_092960
mRNA		GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	45578	50969	-			EPT32705.1	hypothetical protein			TGME49_292960	3149		
CDS	with_protein	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	46266	50386	-	EPT32705.1			hypothetical protein			TGME49_292960	1878	625	
gene	protein_coding	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	52273	68900	-							TGME49_292975	16628		partial;old_locus_tag=TGME49_092970,TGME49_092980
mRNA		GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	52273	68900	-			EPT32704.1	hypothetical protein			TGME49_292975	8714		partial
CDS	with_protein	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	52746	68900	-	EPT32704.1			hypothetical protein			TGME49_292975	8241	2746	
gene	protein_coding	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	69659	89246	+							TGME49_293000	19588		old_locus_tag=TGME49_093000
mRNA		GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	69659	89246	+			EPT32703.1	3'5'-cyclic nucleotide phosphodiesterase domain-containing protein			TGME49_293000	11243		
CDS	with_protein	GCA_000006565.2	Primary Assembly	chromosome	Ia	CM002034.1	73769	88830	+	EPT32703.1			3'5'-cyclic nucleotide phosphodiesterase domain-containing protein			TGME49_293000	6717	2238	
