# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	4694	5837	-							PCOAH_00000020	1144		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	4694	5837	-			ANQ05798.1	KIR protein			PCOAH_00000020	891		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	4694	5837	-	ANQ05798.1			KIR protein			PCOAH_00000020	891	296	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	13903	15999	+							PCOAH_00000030	2097		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	13903	15999	+			ANQ05830.1	SICA antigen			PCOAH_00000030	1626		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	13903	15999	+	ANQ05830.1			SICA antigen			PCOAH_00000030	1626	541	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	16546	18409	-							PCOAH_00000040	1864		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	16546	18409	-			ANQ05868.1	KIR protein			PCOAH_00000040	1056		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	16546	18409	-	ANQ05868.1			KIR protein			PCOAH_00000040	1056	351	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	25909	27236	-							PCOAH_00000050	1328		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	25909	27236	-			ANQ05896.1	KIR protein			PCOAH_00000050	1113		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	25909	27236	-	ANQ05896.1			KIR protein			PCOAH_00000050	1113	370	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	29769	31559	-							PCOAH_00000060	1791		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	29769	31559	-			ANQ05702.1	KIR protein			PCOAH_00000060	1539		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	29769	31559	-	ANQ05702.1			KIR protein			PCOAH_00000060	1539	512	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	33952	35999	-							PCOAH_00000070	2048		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	33952	35999	-			ANQ05728.1	Ubiquitin carboxyl-terminal hydrolase			PCOAH_00000070	1410		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	33952	35999	-	ANQ05728.1			Ubiquitin carboxyl-terminal hydrolase			PCOAH_00000070	1410	469	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	37797	40399	-							PCOAH_00000080	2603		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	37797	40399	-			ANQ05791.1	SICA-like antigen			PCOAH_00000080	2337		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	37797	40399	-	ANQ05791.1			SICA-like antigen			PCOAH_00000080	2337	778	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	43936	44833	-							PCOAH_00000090	898		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	43936	44833	-			ANQ05823.1	KIR-like protein			PCOAH_00000090	759		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	43936	44833	-	ANQ05823.1			KIR-like protein			PCOAH_00000090	759	252	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	48417	50088	-							PCOAH_00000100	1672		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	48417	50088	-			ANQ05694.1	Uncharacterized protein			PCOAH_00000100	1209		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	48417	50088	-	ANQ05694.1			Uncharacterized protein			PCOAH_00000100	1209	402	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	52842	53744	+							PCOAH_00000110	903		partial
mRNA		GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	52842	53744	+			ANQ05885.1	Uncharacterized protein			PCOAH_00000110	683		partial
CDS	with_protein	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	52842	53361	+	ANQ05885.1			Uncharacterized protein			PCOAH_00000110	300	99	
gene	protein_coding	GCA_001680005.1	Primary Assembly	chromosome	1	CP016239.1	55364	56765	+							PCOAH_00000120	1402		partial
