# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000009.1	4462	8425	-							BBOV_I005400	3964		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000009.1	4462	8425	-			EDO05057.1	variant erythrocyte surface antigen-1, putative			BBOV_I005400	3255		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000009.1	4462	8425	-	EDO05057.1			variant erythrocyte surface antigen-1, putative			BBOV_I005400	3255	1084	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000009.1	8765	12965	+							BBOV_I005410	4201		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000009.1	8765	12965	+			EDO05058.1	variant erythrocyte surface antigen-1, putative			BBOV_I005410	4014		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000009.1	8765	12965	+	EDO05058.1			variant erythrocyte surface antigen-1, putative			BBOV_I005410	4014	1337	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	1717	2193	-							BBOV_I001300	477		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	1717	2193	-			EDO05214.1	membrane protein, putative			BBOV_I001300	477		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	1717	2193	-	EDO05214.1			membrane protein, putative			BBOV_I001300	477	158	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	2491	3606	-							BBOV_I001310	1116		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	2491	3606	-			EDO05215.1	membrane protein, putative			BBOV_I001310	1116		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	2491	3606	-	EDO05215.1			membrane protein, putative			BBOV_I001310	1116	371	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	3976	5046	-							BBOV_I001320	1071		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	3976	5046	-			EDO05216.1	variant erythrocyte surface antigen-1, beta subunit			BBOV_I001320	990		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	3976	5046	-	EDO05216.1			variant erythrocyte surface antigen-1, beta subunit			BBOV_I001320	990	329	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	5481	8502	+							BBOV_I001330	3022		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	5481	8502	+			EDO05217.1	variant erythrocyte surface antigen-1, alpha subunit			BBOV_I001330	2865		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	5481	8502	+	EDO05217.1			variant erythrocyte surface antigen-1, alpha subunit			BBOV_I001330	2865	954	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	9041	9587	+							BBOV_I001340	547		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	9041	9587	+			EDO05218.1	variant erythrocyte surface antigen-1, beta subunit			BBOV_I001340	438		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	9041	9587	+	EDO05218.1			variant erythrocyte surface antigen-1, beta subunit			BBOV_I001340	438	145	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	10149	11112	+							BBOV_I001350	964		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	10149	11112	+			EDO05219.1	hypothetical protein			BBOV_I001350	948		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	10149	11112	+	EDO05219.1			hypothetical protein			BBOV_I001350	948	315	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	11359	11841	+							BBOV_I001360	483		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	11359	11841	+			EDO05220.1	membrane protein, putative			BBOV_I001360	483		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	11359	11841	+	EDO05220.1			membrane protein, putative			BBOV_I001360	483	160	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	12439	13008	+							BBOV_I001370	570		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	12439	13008	+			EDO05221.1	SmORF			BBOV_I001370	570		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	12439	13008	+	EDO05221.1			SmORF			BBOV_I001370	570	189	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	13977	15308	+							BBOV_I001380	1332		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	13977	15308	+			EDO05222.1	membrane protein, putative			BBOV_I001380	1332		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	13977	15308	+	EDO05222.1			membrane protein, putative			BBOV_I001380	1332	443	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	16046	16387	-							BBOV_I001390	342		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	16046	16387	-			EDO05223.1	membrane protein, putative			BBOV_I001390	342		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	16046	16387	-	EDO05223.1			membrane protein, putative			BBOV_I001390	342	113	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	17557	19011	-							BBOV_I001400	1455		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	17557	19011	-			EDO05224.1	conserved hypothetical protein			BBOV_I001400	1455		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	17557	19011	-	EDO05224.1			conserved hypothetical protein			BBOV_I001400	1455	484	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	19776	22898	-							BBOV_I001410	3123		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	19776	22898	-			EDO05225.1	variant erythrocyte surface antigen-1, beta subunit			BBOV_I001410	2805		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	19776	22898	-	EDO05225.1			variant erythrocyte surface antigen-1, beta subunit			BBOV_I001410	2805	934	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	24792	25856	+							BBOV_I001420	1065		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	24792	25856	+			EDO05226.1	SmORF			BBOV_I001420	1065		partial
CDS	with_protein	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	24792	25856	+	EDO05226.1			SmORF			BBOV_I001420	1065	354	
gene	protein_coding	GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	26610	30726	-							BBOV_I001430	4117		partial
mRNA		GCA_000165395.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAXT01000005.1	26610	30726	-			EDO05227.1	variant erythrocyte surface antigen-1, alpha subunit			BBOV_I001430	3972		partial
