# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	1	2709	+							EAH_00000010	2709		partial
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	1	2709	+	CDI76016.1			hypothetical protein, conserved			EAH_00000010	1547	514	partial
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	4898	11808	+							EAH_00000020	6911		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	4898	11808	+	CDI76019.1			hypothetical protein, conserved			EAH_00000020	2517	838	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	13355	17279	-							EAH_00000030	3925		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	13355	17279	-	CDI76021.1			zinc finger DHHC domain-containing protein, putative			EAH_00000030	1098	365	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	22300	23928	-							EAH_00000040	1629		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	22300	23928	-	CDI76023.1			TATA-box binding protein, putative			EAH_00000040	1245	414	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	25099	25857	+							EAH_00000050	759		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	25099	25857	+	CDI76024.1			Chromosome III, complete sequence, related			EAH_00000050	549	182	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	27292	28562	+							EAH_00000060	1271		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	27292	28562	+	CDI76025.1			TBPIP domain-containing protein, putative			EAH_00000060	657	218	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	29043	31076	-							EAH_00000070	2034		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	29043	31076	-	CDI76026.1			hypothetical protein, conserved			EAH_00000070	2034	677	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	36597	41135	-							EAH_00000080	4539		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	36597	41135	-	CDI76027.1			hypothetical protein, conserved			EAH_00000080	2616	871	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	43689	45330	-							EAH_00000090	1642		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	43689	45330	-	CDI76028.1			Microneme protein etmic-2/7h, related			EAH_00000090	882	293	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	47658	51599	-							EAH_00000100	3942		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	47658	51599	-	CDI76029.1			hypothetical protein, conserved			EAH_00000100	2040	679	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	55758	58292	-							EAH_00000110	2535		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	55758	58292	-	CDI76030.1			hypothetical protein			EAH_00000110	1398	465	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	58749	60074	-							EAH_00000120	1326		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	58749	60074	-	CDI76031.1			SCY kinase (incomplete catalytic triad), putative			EAH_00000120	933	310	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	66851	73133	+							EAH_00000130	6283		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	66851	73133	+	CDI76033.1			DNA repair protein, putative			EAH_00000130	4788	1595	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	75038	81264	+							EAH_00000140	6227		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	75038	81264	+	CDI76035.1			ulp1 protease family, C-terminal catalytic domain-containing protein, putative			EAH_00000140	5724	1907	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	81822	83345	-							EAH_00000150	1524		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	81822	83345	-	CDI76036.1			hypothetical protein, conserved			EAH_00000150	1524	507	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	91691	94403	-							EAH_00000160	2713		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	91691	94403	-	CDI76037.1			hypothetical protein, conserved			EAH_00000160	1701	566	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	98444	100154	+							EAH_00000170	1711		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	98444	100154	+	CDI76038.1			ankyrin repeat-containing protein, putative			EAH_00000170	585	194	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	101951	104656	-							EAH_00000180	2706		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	101951	104656	-	CDI76039.1			prolidase, putative			EAH_00000180	1248	415	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	105162	107054	+							EAH_00000190	1893		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	105162	107054	+	CDI76040.1			sedoheptulose-1,7 bisphosphatase, putative			EAH_00000190	1011	336	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	108179	109004	-							EAH_00000200	826		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	108179	109004	-	CDI76041.1			hypothetical protein, conserved			EAH_00000200	519	172	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	110251	111969	-							EAH_00000210	1719		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	110251	111969	-	CDI76042.1			SF-assemblin, putative			EAH_00000210	771	256	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	116782	120039	-							EAH_00000220	3258		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	116782	120039	-	CDI76043.1			hypothetical protein			EAH_00000220	2307	768	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	121975	126694	-							EAH_00000230	4720		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	121975	126694	-	CDI76044.1			hypothetical protein			EAH_00000230	2937	978	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	128428	128863	-							EAH_00000240	436		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	128428	128863	-	CDI76045.1			hypothetical protein			EAH_00000240	240	79	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	130823	134452	-							EAH_00000250	3630		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	130823	134452	-	CDI76046.1			subtilisin-like protease, putative			EAH_00000250	2514	837	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	136060	136920	-							EAH_00000260	861		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	136060	136920	-	CDI76047.1			golgi SNARE protein, putative			EAH_00000260	861	286	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	141031	143094	+							EAH_00000270	2064		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	141031	143094	+	CDI76048.1			hypothetical protein, conserved			EAH_00000270	1149	382	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	146587	149578	+							EAH_00000280	2992		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	146587	149578	+	CDI76049.1			hypothetical protein, conserved			EAH_00000280	1134	377	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	150103	150902	+							EAH_00000290	800		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	150103	150902	+	CDI76050.1			hypothetical protein			EAH_00000290	483	160	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	153106	156536	-							EAH_00000300	3431		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	153106	156536	-	CDI76051.1			DnaJ domain-containing protein, putative			EAH_00000300	1278	425	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	161477	178173	+							EAH_00000310	16697		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	161477	178173	+	CDI76053.1			hypothetical protein, conserved			EAH_00000310	14847	4948	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	178751	184049	-							EAH_00000320	5299		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	178751	184049	-	CDI76054.1			DNA mismatch repair protein, putative			EAH_00000320	3654	1217	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	185278	189001	-							EAH_00000330	3724		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	185278	189001	-	CDI76055.1			proteasome A-type and B-type domain-containing protein, putative			EAH_00000330	1284	427	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	190260	194472	+							EAH_00000340	4213		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	190260	194472	+	CDI76056.1			hypothetical protein, conserved			EAH_00000340	2736	911	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	194775	198615	-							EAH_00000350	3841		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	194775	198615	-	CDI76057.1			hypothetical protein, conserved			EAH_00000350	1485	494	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	199598	201338	+							EAH_00000360	1741		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	199598	201338	+	CDI76058.1			hypothetical protein, conserved			EAH_00000360	1335	444	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	202860	204264	-							EAH_00000370	1405		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	202860	204264	-	CDI76059.1			hypothetical protein			EAH_00000370	609	202	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	204765	214011	-							EAH_00000380	9247		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	204765	214011	-	CDI76060.1			coatomer protein complex subunit beta, putative			EAH_00000380	2697	898	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	215651	219883	+							EAH_00000390	4233		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	215651	219883	+	CDI76061.1			immunoglobulin-binding protein, putative			EAH_00000390	1197	398	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	221391	227541	-							EAH_00000400	6151		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	221391	227541	-	CDI76062.1			hypothetical protein, conserved			EAH_00000400	4002	1333	
gene	protein_coding	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	232996	234746	+							EAH_00000410	1751		
CDS	with_protein	GCA_000499425.1	Primary Assembly	unplaced scaffold		HG670307.1	232996	234746	+	CDI76063.1			hypothetical protein, conserved			EAH_00000410	1644	547	
