# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	1098	2047	-							PBANKA_0100021	950		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	1098	2047	-	VUC53733.1			fam-b protein			PBANKA_0100021	777	258	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	8896	14118	+							PBANKA_0100041	5223		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	8896	14118	+	VUC53734.1			conserved rodent malaria protein, unknown function			PBANKA_0100041	5223	1740	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	21970	22548	-							PBANKA_0100061	579		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	21970	22548	-	VUC53735.1			fam-c protein			PBANKA_0100061	411	136	
gene	pseudogene	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	24218	25286	-							PBANKA_0100081	1069		pseudo;pseudogene
CDS	without_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	24218	25286	-							PBANKA_0100081	876		pseudo;pseudogene
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	26371	27916	+							PBANKA_0100100	1546		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	26371	27916	+	VUC53737.1			fam-a protein			PBANKA_0100100	795	264	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	29285	30482	+							PBANKA_0100200	1198		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	29285	30482	+	VUC53738.1			Plasmodium exported protein, unknown function			PBANKA_0100200	1026	341	
gene	pseudogene	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	33270	34584	+							PBANKA_0100300	1315		pseudo;pseudogene
CDS	without_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	33270	34584	+							PBANKA_0100300	1305		pseudo;pseudogene
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	36844	38783	+							PBANKA_0100400	1940		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	36844	38783	+	VUC53740.1			reticulocyte binding protein, putative			PBANKA_0100400	1842	613	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	40052	41483	-							PBANKA_0100500	1432		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	40052	41483	-	VUC53741.1			BIR protein			PBANKA_0100500	1056	351	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	42789	43271	+							PBANKA_0100600	483		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	42789	43271	+	VUC53742.1			schizont membrane associated cytoadherence protein			PBANKA_0100600	483	160	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	45315	46473	+							PBANKA_0100700	1159		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	45315	46473	+	VUC53743.1			Plasmodium exported protein, unknown function			PBANKA_0100700	966	321	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	47559	51707	-							PBANKA_0100800	4149		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	47559	51707	-	VUC53744.1			zinc finger protein, putative			PBANKA_0100800	4149	1382	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	56253	60273	+							PBANKA_0100900	4021		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	56253	60273	+	VUC53745.1			ATP-dependent RNA helicase, putative			PBANKA_0100900	3903	1300	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	61396	62666	+							PBANKA_0101000	1271		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	61396	62666	+	VUC53746.1			MYND-type zinc finger protein, putative			PBANKA_0101000	789	262	
gene	protein_coding	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	63665	64618	+							PBANKA_0101100	954		
CDS	with_protein	GCA_900002375.2	Primary Assembly	chromosome	1	LK023116.2	63665	64618	+	VUC53747.1			liver merozoite formation protein			PBANKA_0101100	954	317	
