# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	1304	3306	-							BXIN_0001	2003		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	1304	3306	-			ORM39790.1	hypothetical protein			BXIN_0001	1923		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	1304	3306	-	ORM39790.1			hypothetical protein			BXIN_0001	1923	640	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	3542	4264	+							BXIN_0002	723		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	3542	4264	+			ORM39789.1	hypothetical protein			BXIN_0002	639		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	3542	4264	+	ORM39789.1			hypothetical protein			BXIN_0002	639	212	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	7993	8745	-							BXIN_0003	753		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	7993	8745	-			ORM39788.1	hypothetical protein			BXIN_0003	753		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	7993	8745	-	ORM39788.1			hypothetical protein			BXIN_0003	753	250	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	9083	9769	+							BXIN_0004	687		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	9083	9769	+			ORM39794.1	hypothetical protein			BXIN_0004	522		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	9083	9769	+	ORM39794.1			hypothetical protein			BXIN_0004	522	173	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	9892	17937	+							BXIN_0005	8046		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	9892	17937	+			ORM39793.1	Small subunit processome component 20 -like protein			BXIN_0005	7821		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	9892	17937	+	ORM39793.1			Small subunit processome component 20 -like protein			BXIN_0005	7821	2606	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	18210	19689	-							BXIN_0006	1480		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	18210	19689	-			ORM39792.1	General transcription factor 3C polypeptide 5			BXIN_0006	1212		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	18210	19689	-	ORM39792.1			General transcription factor 3C polypeptide 5			BXIN_0006	1212	403	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	20078	40586	+							BXIN_0007	20509		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	20078	40586	+			ORM39791.1	Uncharacterized protein			BXIN_0007	20106		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	20078	40586	+	ORM39791.1			Uncharacterized protein			BXIN_0007	20106	6701	
gene	tRNA	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	40618	40689	+							BXIN_3260	72		partial
tRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	40618	40689	+				tRNA-Trp			BXIN_3260	72		partial
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	40789	41646	+							BXIN_0008	858		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	40789	41646	+			ORM39812.1	putative U2 small nuclear ribonucleoprotein A'			BXIN_0008	666		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	40789	41646	+	ORM39812.1			putative U2 small nuclear ribonucleoprotein A'			BXIN_0008	666	221	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	41895	43541	+							BXIN_0009	1647		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	41895	43541	+			ORM39809.1	hypothetical protein			BXIN_0009	1647		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	41895	43541	+	ORM39809.1			hypothetical protein			BXIN_0009	1647	548	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	43593	46613	-							BXIN_0010	3021		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	43593	46613	-			ORM39629.1	hypothetical protein			BXIN_0010	3021		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	43593	46613	-	ORM39629.1			hypothetical protein			BXIN_0010	3021	1006	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	48344	53167	+							BXIN_0011	4824		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	48344	53167	+			ORM39630.1	hypothetical protein			BXIN_0011	4824		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	48344	53167	+	ORM39630.1			hypothetical protein			BXIN_0011	4824	1607	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	53962	57243	+							BXIN_0012	3282		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	53962	57243	+			ORM39817.1	hypothetical protein			BXIN_0012	2427		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	53962	57243	+	ORM39817.1			hypothetical protein			BXIN_0012	2427	808	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	57271	59318	-							BXIN_0013	2048		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	57271	59318	-			ORM39818.1	Ubiquitin-fold modifier-conjugating enzyme 1			BXIN_0013	1767		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	57271	59318	-	ORM39818.1			Ubiquitin-fold modifier-conjugating enzyme 1			BXIN_0013	1767	588	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	59411	65006	-					prfA		BXIN_0014	5596		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	59411	65006	-			ORM39813.1	Peptide chain release factor 1	prfA		BXIN_0014	5055		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	59411	65006	-	ORM39813.1			Peptide chain release factor 1	prfA		BXIN_0014	5055	1684	
gene	tRNA	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	65721	65794	+							BXIN_3259	74		partial
tRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	65721	65794	+				tRNA-Thr			BXIN_3259	74		partial
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	66046	70390	+							BXIN_0015	4345		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	66046	70390	+			ORM39814.1	hypothetical protein			BXIN_0015	4062		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	66046	70390	+	ORM39814.1			hypothetical protein			BXIN_0015	4062	1353	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	70699	72842	+							BXIN_0016	2144		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	70699	72842	+			ORM39815.1	hypothetical protein			BXIN_0016	2109		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	70699	72842	+	ORM39815.1			hypothetical protein			BXIN_0016	2109	702	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	73127	77122	-					ttc27		BXIN_0017	3996		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	73127	77122	-			ORM39816.1	Tetratricopeptide repeat protein 27 -like protein	ttc27		BXIN_0017	3387		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	73127	77122	-	ORM39816.1			Tetratricopeptide repeat protein 27 -like protein	ttc27		BXIN_0017	3387	1128	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	77290	78538	+					mrps15		BXIN_0018	1249		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	77290	78538	+			ORM39819.1	putative 28S ribosomal protein	mrps15		BXIN_0018	903		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	77290	78538	+	ORM39819.1			putative 28S ribosomal protein	mrps15		BXIN_0018	903	300	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	79142	79546	+							BXIN_0019	405		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	79142	79546	+			ORM39631.1	60S ribosomal protein L9			BXIN_0019	405		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	79142	79546	+	ORM39631.1			60S ribosomal protein L9			BXIN_0019	405	134	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	79632	80396	-							BXIN_0020	765		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	79632	80396	-			ORM39754.1	hypothetical protein			BXIN_0020	561		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	79632	80396	-	ORM39754.1			hypothetical protein			BXIN_0020	561	186	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	80959	81450	-							BXIN_0021	492		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	80959	81450	-			ORM39753.1	hypothetical protein			BXIN_0021	330		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	80959	81450	-	ORM39753.1			hypothetical protein			BXIN_0021	330	109	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	81715	82886	+							BXIN_0022	1172		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	81715	82886	+			ORM39756.1	hypothetical protein			BXIN_0022	984		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	81715	82886	+	ORM39756.1			hypothetical protein			BXIN_0022	984	327	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	83062	89028	-							BXIN_0023	5967		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	83062	89028	-			ORM39755.1	hypothetical protein			BXIN_0023	5967		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	83062	89028	-	ORM39755.1			hypothetical protein			BXIN_0023	5967	1988	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	89606	91675	+							BXIN_0024	2070		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	89606	91675	+			ORM39750.1	putative asparagine synthetase domain-containing protein			BXIN_0024	1992		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	89606	91675	+	ORM39750.1			putative asparagine synthetase domain-containing protein			BXIN_0024	1992	663	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	91824	92993	-							BXIN_0025	1170		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	91824	92993	-			ORM39749.1	hypothetical protein			BXIN_0025	1170		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	91824	92993	-	ORM39749.1			hypothetical protein			BXIN_0025	1170	389	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	93051	94919	-							BXIN_0026	1869		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	93051	94919	-			ORM39752.1	hypothetical protein			BXIN_0026	1797		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	93051	94919	-	ORM39752.1			hypothetical protein			BXIN_0026	1797	598	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	95300	95650	-							BXIN_0027	351		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	95300	95650	-			ORM39751.1	hypothetical protein			BXIN_0027	264		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	95300	95650	-	ORM39751.1			hypothetical protein			BXIN_0027	264	87	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	95962	97344	+							BXIN_0028	1383		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	95962	97344	+			ORM39748.1	hypothetical protein			BXIN_0028	1383		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	95962	97344	+	ORM39748.1			hypothetical protein			BXIN_0028	1383	460	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	97611	98654	+							BXIN_0029	1044		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	97611	98654	+			ORM39747.1	hypothetical protein			BXIN_0029	753		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	97611	98654	+	ORM39747.1			hypothetical protein			BXIN_0029	753	250	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	99837	100634	+							BXIN_0030	798		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	99837	100634	+			ORM39776.1	Acidic leucine-rich nuclear phosphoprotein 32-related protein			BXIN_0030	798		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	99837	100634	+	ORM39776.1			Acidic leucine-rich nuclear phosphoprotein 32-related protein			BXIN_0030	798	265	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	101509	102003	+							BXIN_0031	495		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	101509	102003	+			ORM39777.1	hypothetical protein			BXIN_0031	495		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	101509	102003	+	ORM39777.1			hypothetical protein			BXIN_0031	495	164	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	102771	103705	+							BXIN_0032	935		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	102771	103705	+			ORM39774.1	Exosome complex component RRP41 -like protein			BXIN_0032	792		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	102771	103705	+	ORM39774.1			Exosome complex component RRP41 -like protein			BXIN_0032	792	263	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	103992	106691	-							BXIN_0033	2700		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	103992	106691	-			ORM39775.1	Puromycin-sensitive aminopeptidase			BXIN_0033	2700		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	103992	106691	-	ORM39775.1			Puromycin-sensitive aminopeptidase			BXIN_0033	2700	899	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	108298	110727	+							BXIN_0034	2430		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	108298	110727	+			ORM39772.1	hypothetical protein			BXIN_0034	2430		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	108298	110727	+	ORM39772.1			hypothetical protein			BXIN_0034	2430	809	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	111000	112208	-							BXIN_0035	1209		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	111000	112208	-			ORM39773.1	hypothetical protein			BXIN_0035	1209		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	111000	112208	-	ORM39773.1			hypothetical protein			BXIN_0035	1209	402	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	113346	116372	-					dis32		BXIN_0036	3027		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	113346	116372	-			ORM39770.1	DIS3-like exonuclease 2	dis32		BXIN_0036	3027		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	113346	116372	-	ORM39770.1			DIS3-like exonuclease 2	dis32		BXIN_0036	3027	1008	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	116591	117668	+					chmp1		BXIN_0037	1078		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	116591	117668	+			ORM39771.1	Charged multivesicular body protein 1	chmp1		BXIN_0037	576		
CDS	with_protein	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	116591	117668	+	ORM39771.1			Charged multivesicular body protein 1	chmp1		BXIN_0037	576	191	
gene	protein_coding	GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	117859	120480	+							BXIN_0038	2622		
mRNA		GCA_002095265.1	Primary Assembly	unplaced scaffold		MBFZ01000212.1	117859	120480	+			ORM39768.1	Coatomer subunit beta'-1			BXIN_0038	2622		
