# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001341.1	309	653	+							Chro.10401	345		partial
CDS	with_protein	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001341.1	309	653	+	EAL34594.1			hypothetical protein			Chro.10401	345	115	partial
gene	protein_coding	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001320.1	207	362	-							Chro.10207	156		
CDS	with_protein	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001320.1	207	362	-	EAL34601.1			hypothetical protein			Chro.10207	156	51	
gene	protein_coding	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001236.1	163	819	-							Chro.10242	657		
CDS	with_protein	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001236.1	163	819	-	EAL34620.1			hypothetical protein			Chro.10242	657	218	
gene	protein_coding	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001221.1	71	754	+							Chro.10126	684		
CDS	with_protein	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001221.1	71	754	+	EAL34624.1			hypothetical protein			Chro.10126	684	227	
gene	protein_coding	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001215.1	314	814	-							Chro.10355	501		
CDS	with_protein	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001215.1	314	814	-	EAL34626.1			hypothetical protein			Chro.10355	501	166	
gene	protein_coding	GCA_000006425.1	Primary Assembly	unlocalized scaffold on chromosome	1	AAEL01001200.1	1	521	-							Chro.10373	521		partial
