# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989773.1	72	1059	-							CMU_022010	988		partial
mRNA		GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989773.1	72	1059	-			EEA08628.1	hypothetical protein, conserved			CMU_022010	988		partial
CDS	with_protein	GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989773.1	72	1059	-	EEA08628.1			hypothetical protein, conserved			CMU_022010	988	328	partial
gene	protein_coding	GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989768.1	1	1421	+							CMU_004200	1421		partial
mRNA		GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989768.1	1	1421	+			EEA08625.1	hypothetical protein, conserved			CMU_004200	1421		partial
CDS	with_protein	GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989768.1	1	1421	+	EEA08625.1			hypothetical protein, conserved			CMU_004200	1421	473	partial
gene	protein_coding	GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989745.1	1	1215	-							CMU_004410	1215		partial
mRNA		GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989745.1	1	1215	-			EEA08592.1	insulinase, putative			CMU_004410	1215		partial
CDS	with_protein	GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989745.1	1	1215	-	EEA08592.1			insulinase, putative			CMU_004410	1215	405	partial
gene	protein_coding	GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989745.1	6575	7429	-							CMU_004420	855		partial
mRNA		GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989745.1	6575	7429	-			EEA08593.1	hypothetical protein			CMU_004420	855		partial
CDS	with_protein	GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989745.1	6575	7429	-	EEA08593.1			hypothetical protein			CMU_004420	855	284	
gene	protein_coding	GCA_000006515.1	Primary Assembly	unplaced scaffold		DS989745.1	9295	10941	-							CMU_004430	1647		partial
