# Species	Genes	Alg.-Conn.	babesia_bigemina_protein.faa	babesia_bovis_T2Bo_protein.faa	babesia_microti_strain_RI_protein.faa	babesia_ovata_protein.faa	babesia_sp._Xinjiang_protein.faa	besnoitia_besnoiti_protein.faa	cryptosporidium_felis_protein.faa	cryptosporidium_hominis_TU502_protein.faa	cryptosporidium_muris_RN66_protein.faa	cryptosporidium_parvum_Iowa_II_protein.faa	cryptosporidium_ubiquitum_protein.faa	eimeria_acervulina_protein.faa	eimeria_brunetti_protein.faa	eimeria_maxima_protein.faa	eimeria_mitis_protein.faa	eimeria_necatrix_protein.faa	eimeria_praecox_protein.faa	eimeria_tenella_protein.faa	gregarina_niphandrodes_protein.faa	neospora_caninum_Liverpool_protein.faa	plasmodium_berghei_ANKA_protein.faa	plasmodium_chabaudi_protein.faa	plasmodium_coatneyi_protein.faa	plasmodium_cynomolgi_protein.faa	plasmodium_falciparum_protein.faa	plasmodium_fragile_protein.faa	plasmodium_gaboni_protein.faa	plasmodium_gallinaceum_protein.faa	plasmodium_inui_San_Antonio_1_protein.faa	plasmodium_knowlesi_protein.faa	plasmodium_malariae_protein.faa	plasmodium_reichenowi_protein.faa	plasmodium_relictum_protein.faa	plasmodium_sp._gorilla_clade_G2_protein.faa	plasmodium_vinckei_protein.faa	plasmodium_vivax_protein.faa	plasmodium_yoelii_protein.faa	porospora_cf._gigantea_A_protein.faa	porospora_cf._gigantea_B_protein.faa	theileria_annulata_protein.faa	theileria_equi_strain_WA_protein.faa	theileria_orientalis_strain_Shintoku_protein.faa	theileria_parva_strain_Muguga_protein.faa	toxoplasma_gondii_ME49_protein.faa	type	number_of_genoms	number_of_proteins	number_of_genus	function
26	26	0.000689	*	*	*	*	*	PFH34942.1	KAF7459089.1	EAL35518.1	EEA07092.1	EAK90286.1	OII74141.1	*	CDJ48277.1	CDJ56711.1	CDJ29601.1	CDJ68066.1	*	CDJ44882.1	*	CBZ54050.1	VUC58588.1	*	ANQ10952.1	GAB69207.1	*	KJP88689.1	KYN98174.1	CRG97016.1	EUD66090.1	CAA9991174.1	*	KYN93209.1	CRH02806.1	*	VEV59302.1	EDL44188.1	VTZ81860.1	*	*	*	*	*	*	EPT27318.1	full_gca_44	26	26	6	hypothetical protein, conserved
32	32	0.00698	*	*	*	*	*	PFH34561.1	KAF7458063.1	EAL35422.1	EEA06859.1	EAK87626.1	OII72252.1	CDI77382.1	CDJ51309.1	CDJ60598.1	CDJ35684.1	CDJ68896.1	CDI81346.1	CDJ42348.1	*	CBZ52379.1	VUC58643.1	CDR17116.1	ANQ10914.1	GAB69264.1	CZT99602.1	KJP87379.1	KYN98228.1	CRG97073.1	EUD64892.1	CAA9991241.1	SCP03718.1	KYN95543.1	CRH02863.1	SOV17088.1	VEV59355.1	EDL44245.1	VTZ81914.1	*	*	*	*	*	*	EPT30141.1	full_gca_44	32	32	6	hypothetical protein, conserved
32	32	0.00134	*	*	*	*	*	PFH37487.1	KAF7459165.1	EAL37580.1	EEA05239.1	EAK89140.1	OII70811.1	CDI77870.1	CDJ49493.1	*	CDJ34536.1	CDJ63758.1	*	CDJ42119.1	EZG47655.1	CBZ55744.1	VUC55675.1	CDS47451.1	ANQ08036.1	GAB66625.1	CZT99015.1	KJP90241.1	KYN98989.1	CRG96403.1	EUD67196.1	CAA9988376.1	*	KYN96689.1	CRH00224.1	SOV15909.1	VEV56526.1	EDL45738.1	VTZ78340.1	KAH0473883.1	KAH0486586.1	*	*	*	*	EPT24670.1	full_gca_44	32	32	8	protein phosphatase PPM8, putative
22	22	0.00154	CDR98122.1	EDO05545.1	CCF75351.1	GBE62409.1	ORM41240.1	PFH38012.1	KAF7457713.1	EAL36484.1	EEA07474.1	EAK88421.1	OII74615.1	CDI81114.1	CDJ46544.1	CDJ60162.1	*	CDJ62310.1	*	CDJ37878.1	*	CBZ56193.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	CAI75726.1	EKX73302.1	BAM41041.1	EAN31251.1	EPT25168.1	full_gca_44	22	22	7	hypothetical protein, conserved
43	43	0.00168	CDR95993.1	EDO05835.1	SIO73300.1	GBE59853.1	ORM41322.1	PFH32192.1	KAF7458962.1	EAL36706.1	EEA04874.1	EAK87963.1	OII75404.1	CDI76898.1	CDJ48629.1	CDJ59855.1	CDJ33699.1	CDJ65617.1	*	CDJ40631.1	EZG78222.1	CBZ51029.1	VUC54951.1	CDS47508.1	ANQ06816.1	GAB65112.1	CAD51092.1	KJP89518.1	KYO00868.1	CRG93508.1	EUD67109.1	CAA9990262.1	SBT87315.1	KYN99369.1	CRH03747.1	SOV13829.1	VEV55647.1	EDL45153.1	VTZ76233.1	KAH0484949.1	KAH0476428.1	CAI75624.1	EKX72827.1	BAM41174.1	EAN31152.2	EPT27861.1	full_gca_44	43	43	10	hypothetical protein, conserved
32	32	0.00197	*	*	*	*	*	PFH37540.1	*	*	*	*	*	CDI84323.1	CDJ53954.1	CDJ59097.1	CDJ32172.1	CDJ65906.1	*	*	EZG66839.1	CBZ55694.1	VUC56057.1	CDU21544.1	ANQ06166.1	GAB64747.1	CAB62860.2	KJP88343.1	KYO02791.1	CRG98154.1	EUD65038.1	CAA9986491.1	SBT86231.1	KYO02064.1	CRG98570.1	SOV11245.1	VEV55903.1	EDL43612.1	VTZ78809.1	KAH0481338.1	KAH0482534.1	CAI74075.1	EKX73458.1	BAM40685.1	EAN33198.2	EPT24615.1	full_gca_44	32	32	8	zinc finger, RAN binding protein, putative
40	40	0.00454	CDR96622.1	EDO07897.1	SIO73377.1	GBE59331.1	ORM41857.1	PFH32516.1	KAF7458895.1	*	EEA05158.1	EAK87555.1	OII75515.1	CDI78439.1	*	CDJ59433.1	CDJ31094.1	CDJ66076.1	*	CDJ39324.1	*	CBZ51397.1	VUC58307.1	CDR16635.1	ANQ09973.1	GAB68927.1	CAD51247.1	KJP85482.1	KYO00721.1	CRG97657.1	EUD68953.1	CAA9990876.1	SCP03378.1	KYN99217.1	CRH02517.1	SOV13582.1	VEV59023.1	EDL47463.1	VTZ81579.1	KAH0483963.1	KAH0486320.1	CAI72925.1	EKX72921.1	BAM39658.1	EAN34406.1	EPT27463.1	full_gca_44	40	40	9	RNA-binding protein (U1 snRNP-like), putative
41	41	0.00039	CDR94264.1	EDO07187.1	SJK86270.1	GBE60580.1	ORM42013.1	PFH37682.1	KAF7458038.1	EAL36913.1	EEA08537.1	EAK88663.1	OII71896.1	CDI83007.1	*	CDJ56192.1	*	CDJ68526.1	CDI87240.1	CDJ43350.1	*	CBZ52616.1	VUC55780.1	CDS47216.1	ANQ08035.1	GAB66518.1	CZT98905.1	KJP87683.1	KYN98885.1	CRG96291.1	EUD65400.1	CAA9988268.1	SCN12762.1	KYN96576.1	CRH00111.1	SOV15694.1	VEV56413.1	EDL45631.1	VTZ78449.1	KAH0481387.1	KAH0487266.1	CAI73155.1	EKX74085.1	BAM39434.1	EAN34179.1	EPT29791.1	full_gca_44	41	41	9	hypothetical protein, conserved
33	33	0.00195	*	EDO05460.1	*	*	*	PFH33340.1	KAF7458932.1	EAL34916.1	EEA08148.1	EAK87521.1	OII75553.1	CDI76295.1	CDJ48904.1	CDJ58620.1	*	CDJ62176.1	*	CDJ37162.1	*	*	VUC56226.1	CDU21713.1	ANQ10656.1	GAB68495.1	CZT99910.1	KJP89800.1	KYN95810.1	CRG95717.1	EUD65927.1	CAA9990407.1	SCP02739.1	KYN93862.1	CRH03939.1	SOV18924.1	VEV56935.1	EDL47030.1	VTZ78978.1	*	*	CAI73626.1	AFZ80104.1	BAM38938.1	EAN33696.2	*	full_gca_44	33	33	6	zinc finger protein, putative
27	27	0.000984	CDR95404.1	EDO05368.1	SIO73227.1	*	ORM40355.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC57888.1	CDR15936.1	ANQ09549.1	GAB67698.1	CAD52500.1	KJP86850.1	KYN97146.1	CRG98218.1	EUD67667.1	CAA9989969.1	SCO93691.1	KYN94792.1	CRH01724.1	SOV17993.1	VEV58591.1	EDL44422.1	VTZ80926.1	KAH0483362.1	KAH0475371.1	CAI73537.1	AFZ80797.1	BAM39055.1	EAN33795.2	*	full_gca_44	27	27	4	conserved Plasmodium protein, unknown function
22	22	0.00247	CDR96112.1	*	SIO73877.1	GBE62623.1	ORM42082.1	PFH35988.1	KAF7457776.1	EAL37921.1	EEA06369.1	EAK89817.1	OII73031.1	CDI76533.1	CDJ45861.1	CDJ56792.1	CDJ27223.1	CDJ69386.1	CDI85428.1	CDJ44558.1	*	CBZ51350.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	CAI76093.1	AFZ80727.1	*	KAF5153177.1	EPT29925.1	full_gca_44	22	22	7	hypothetical protein, conserved
25	25	0.00888	*	*	CCF73049.1	*	*	*	KAF7457039.1	EAL38108.1	EEA06247.1	EAK90139.1	OII73141.1	*	*	*	*	*	*	*	*	*	VUC55737.1	CDS47298.1	ANQ08342.1	GAB66564.1	CZT98949.1	KJP90182.1	KYN98925.1	*	EUD67136.1	CAA9988314.1	SCN12806.1	KYN96623.1	*	SOV15788.1	VEV56458.1	EDL45676.1	VTZ78406.1	*	*	CAI76437.1	AFZ81512.1	BAM42140.1	EAN31749.1	*	full_gca_44	25	25	4	CCR4-NOT transcription complex subunit 2, putative
40	40	0.000415	CDR97889.1	EDO05627.1	SIO73744.1	GBE62041.1	ORM40283.1	PFH37488.1	KAF7457248.1	EAL38224.1	EEA05000.1	EAK88248.1	OII71335.1	CDI76277.1	CDJ53038.1	CDJ56567.1	*	CDJ65784.1	*	CDJ37820.1	*	*	VUC56360.1	CDU21847.1	ANQ10478.1	GAB68632.1	CZT99766.1	KJP88527.1	KYN95671.1	CRG95580.1	EUD65827.1	CAA9990548.1	SCP02877.1	KYN93717.1	CRH04076.1	SOV18630.1	VEV57070.1	EDL47164.1	VTZ79112.1	KAH0485989.1	KAH0487456.1	CAI74051.1	EKX73099.1	BAM40708.1	EAN33218.1	EPT24669.1	full_gca_44	40	40	8	RNA-binding protein, putative
38	38	0.000552	CDR96801.1	EDO08256.1	CCF75473.1	GBE58873.1	ORM40048.1	PFH33780.1	KAF7456559.1	*	EEA05498.1	EAK89333.1	OII72600.1	CDI79196.1	CDJ52385.1	*	CDJ27193.1	*	*	CDJ40939.1	*	CBZ50071.1	VUC55479.1	CDR12853.1	ANQ07411.1	*	CAD51987.1	KJP85519.1	KYO00288.1	CRG96859.1	EUD64655.1	CAA9987588.1	SBT87965.1	KYN98605.1	CRG99523.1	SOV14483.1	VEV56134.1	EDL42350.1	VTZ77702.1	KAH0482476.1	KAH0473480.1	CAI76631.1	AFZ81296.1	BAM41939.1	KAF5153267.1	EPT32042.1	full_gca_44	38	38	9	elongation factor Tu, putative
41	41	0.00574	CDR95398.1	EDO05362.1	SIO73231.1	GBE61412.1	ORM40347.1	PFH38282.1	KAF7456717.1	EAL35576.1	EEA05916.1	EAK90183.1	OII73242.1	CDI84411.1	CDJ50613.1	*	CDJ36433.1	CDJ65951.1	CDI86062.1	CDJ44569.1	EZG43807.1	CBZ55924.1	VUC54536.1	CDS45969.1	ANQ07133.1	GAB65492.1	CZT98538.1	KJP86653.1	KYN99662.1	CRG97296.1	EUD66202.1	CAA9987177.1	*	KYN97738.1	CRG99144.1	SOV15087.1	VEV55244.1	EDL42462.1	VTZ74272.1	KAH0474691.1	KAH0488844.1	CAI73531.1	*	BAM39063.1	EAN33803.1	EPT24882.1	full_gca_44	41	41	10	rRNA-processing protein EBP2, putative
26	26	0.00126	*	*	*	*	*	PFH36769.1	*	*	*	*	*	CDI80100.1	CDJ48423.1	CDJ60251.1	*	CDJ63679.1	CDI74401.1	CDJ37211.1	*	CBZ50855.1	VUC56703.1	CDR14059.1	ANQ09091.1	GAB67265.1	CAG25106.1	KJP85827.1	KYO01991.1	CRG93871.1	EUD68607.1	CAA9989029.1	SCO93091.1	KYO01173.1	CRH00843.1	SOV12703.1	VEV57408.1	EDL46575.1	VTZ79569.1	*	*	*	*	*	*	EPT27639.1	full_gca_44	26	26	5	RNA-binding protein, putative
