# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	3990	5753	+					CHT1		PRELSG_0100100	1764		
CDS	with_protein	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	3990	5753	+	CRG98358.1			chitinase	CHT1		PRELSG_0100100	1764	587	
gene	tRNA	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	12392	12464	-							PRELSG_0100200	73		
tRNA		GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	12392	12464	-				tRNA-Ala			PRELSG_0100200	73		
gene	tRNA	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	12831	12914	+							PRELSG_0100300	84		
tRNA		GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	12831	12914	+				tRNA-Tyr			PRELSG_0100300	84		
gene	protein_coding	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	15397	16127	-							PRELSG_0100400	731		
CDS	with_protein	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	15397	16127	-	CRG98359.1			centrin, putative			PRELSG_0100400	312	103	
gene	protein_coding	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	17456	22528	+							PRELSG_0100500	5073		
CDS	with_protein	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	17456	22528	+	CRG98360.1			conserved Plasmodium protein, unknown function			PRELSG_0100500	5073	1690	
gene	protein_coding	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	23042	23575	+							PRELSG_0100600	534		
CDS	with_protein	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	23042	23575	+	CRG98361.1			conserved Plasmodium protein, unknown function			PRELSG_0100600	534	177	
gene	protein_coding	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	24339	28115	-							PRELSG_0100700	3777		
CDS	with_protein	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	24339	28115	-	CRG98362.1			conserved Plasmodium protein, unknown function			PRELSG_0100700	3777	1258	
gene	protein_coding	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	29178	29597	+							PRELSG_0100800	420		
CDS	with_protein	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	29178	29597	+	CRG98363.1			conserved Plasmodium protein, unknown function			PRELSG_0100800	420	139	
gene	protein_coding	GCA_900005765.1	Primary Assembly	chromosome	1	LN835296.1	30510	32570	-							PRELSG_0100900	2061		
