# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	4825	5988	+							PKNH_0100100	1164		partial
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	4825	5988	+	CAA9986087.1			SICAvar, type I (fragment)			PKNH_0100100	973	324	partial
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	10463	16690	+							PKNH_0100200	6228		partial
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	10463	16690	+	CAA9986088.1			SICAvar, type I (fragment)			PKNH_0100200	3153	1050	partial
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	20966	23594	+							PKNH_0100300	2629		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	20966	23594	+	CAA9986089.1			SICAvar, type I (fragment)			PKNH_0100300	948	315	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	24257	25753	-							PKNH_0100400	1497		partial
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	24257	25753	-	CAA9986090.1			Plasmodium exported protein, unknown function			PKNH_0100400	678	225	partial
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	27288	28209	-							PKNH_0100500	922		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	27288	28209	-	CAA9986091.1			hypothetical protein, conserved in P.knowlesi			PKNH_0100500	726	241	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	31757	32101	+							PKNH_0100600	345		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	31757	32101	+	CAA9986092.1			small exported membrane protein 1, putative			PKNH_0100600	345	114	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	35490	35976	-							PKNH_0100700	487		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	35490	35976	-	CAA9986093.1			conserved Plasmodium protein, unknown function			PKNH_0100700	312	103	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	45508	47607	+							PKNH_0100800	2100		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	45508	47607	+	CAA9986094.1			chitinase, putative			PKNH_0100800	2100	699	
gene	tRNA	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	48685	48757	-							PKNH_0100900	73		
tRNA		GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	48685	48757	-				tRNA-Ala			PKNH_0100900	73		
gene	tRNA	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	49338	49421	+							PKNH_0101000	84		
tRNA		GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	49338	49421	+				tRNA-Tyr			PKNH_0101000	84		
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	51036	51922	-							PKNH_0101100	887		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	51036	51922	-	CAA9986095.1			centrin, putative			PKNH_0101100	324	107	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	53584	58956	+							PKNH_0101200	5373		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	53584	58956	+	CAA9986096.1			conserved Plasmodium protein, unknown function			PKNH_0101200	5373	1790	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	59952	60488	+							PKNH_0101300	537		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	59952	60488	+	CAA9986097.1			cytosolic iron-sulfur assembly component 2, putative			PKNH_0101300	537	178	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	61530	65429	-							PKNH_0101400	3900		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	61530	65429	-	CAA9986098.1			conserved Plasmodium protein, unknown function			PKNH_0101400	3900	1299	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	67152	67583	+							PKNH_0101500	432		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	67152	67583	+	CAA9986099.1			conserved Plasmodium protein, unknown function			PKNH_0101500	432	143	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	68721	70664	-							PKNH_0101600	1944		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	68721	70664	-	CAA9986100.1			conserved Plasmodium protein, unknown function			PKNH_0101600	1944	647	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	75625	82680	+							PKNH_0101700	7056		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	75625	82680	+	CAA9986101.1			erythrocyte membrane-associated antigen, putative			PKNH_0101700	7056	2351	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	84775	86934	+							PKNH_0101800	2160		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	84775	86934	+	CAA9986102.1			conserved protein, unknown function			PKNH_0101800	789	262	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	87731	88345	-							PKNH_0101900	615		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	87731	88345	-	CAA9986103.1			conserved protein, unknown function			PKNH_0101900	615	204	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	91749	94856	+							PKNH_0102000	3108		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	91749	94856	+	CAA9986104.1			conserved Plasmodium protein, unknown function			PKNH_0102000	3108	1035	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	95823	107594	-							PKNH_0102100	11772		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	95823	107594	-	CAA9986105.1			conserved Plasmodium protein, unknown function			PKNH_0102100	11772	3923	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	109059	117905	-							PKNH_0102200	8847		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	109059	117905	-	CAA9986106.1			conserved Plasmodium protein, unknown function			PKNH_0102200	8847	2948	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	121022	131314	+							PKNH_0102300	10293		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	121022	131314	+	CAA9986107.1			basal complex transmembrane protein 2, putative			PKNH_0102300	10293	3430	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	132146	135406	-							PKNH_0102400	3261		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	132146	135406	-	CAA9986108.1			NOL1/NOP2/sun family methyltransferase			PKNH_0102400	3261	1086	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	138700	144363	+							PKNH_0102500	5664		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	138700	144363	+	CAA9986109.1			conserved Plasmodium protein, unknown function			PKNH_0102500	5664	1887	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	146514	148931	+							PKNH_0102600	2418		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	146514	148931	+	CAA9986110.1			phosphoinositide-binding protein, putative			PKNH_0102600	2418	805	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	150761	152447	+							PKNH_0102700	1687		
CDS	with_protein	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	150761	152447	+	CAA9986111.1			hypothetical protein			PKNH_0102700	1488	495	
gene	protein_coding	GCA_000006355.3	Primary Assembly	chromosome	1	AM910983.2	159927	174554	+							PKNH_0102800	14628		
