# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000003.1	966	1754	+							PGAL8A_00065900	789		
CDS	with_protein	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000003.1	966	1754	+	CRG92955.1			Plasmodium exported protein, unknown function			PGAL8A_00065900	687	228	
gene	protein_coding	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	4856	7963	+							PGAL8A_00066000	3108		
CDS	with_protein	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	4856	7963	+	CRG92956.1			WD-repeat protein, putative			PGAL8A_00066000	3108	1035	
gene	protein_coding	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	10674	16109	-					PUF1		PGAL8A_00066100	5436		
CDS	with_protein	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	10674	16109	-	CRG92957.1			mRNA-binding protein PUF1, putative	PUF1		PGAL8A_00066100	3723	1240	
gene	protein_coding	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	17888	19254	-					PSOP13		PGAL8A_00066200	1367		
CDS	with_protein	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	17888	19254	-	CRG92958.1			secreted ookinete protein, putative	PSOP13		PGAL8A_00066200	606	201	
gene	protein_coding	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	20294	21406	-							PGAL8A_00066300	1113		
CDS	with_protein	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	20294	21406	-	CRG92959.1			conserved Plasmodium protein, unknown function			PGAL8A_00066300	642	213	
gene	protein_coding	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	23689	24555	+					SLBP		PGAL8A_00066400	867		
CDS	with_protein	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	23689	24555	+	CRG92960.1			histone RNA hairpin-binding protein, putative	SLBP		PGAL8A_00066400	867	288	
gene	protein_coding	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	25854	26228	+							PGAL8A_00066500	375		
CDS	with_protein	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	25854	26228	+	CRG92961.1			mitochondrial ribosomal protein L14 precursor, putative			PGAL8A_00066500	375	124	
gene	protein_coding	GCA_900005855.1	Primary Assembly	unplaced scaffold		CVMV01000004.1	27124	28244	-							PGAL8A_00066600	1121		
