# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	1	3321	-							HWI79_1	3321		partial
mRNA		GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	1	3321	-			KAF7459423.1	RecQ4 SF II RNA helicase			HWI79_1	3321		partial
CDS	with_protein	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	1	3321	-	KAF7459423.1			RecQ4 SF II RNA helicase			HWI79_1	3321	1107	partial
gene	protein_coding	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	4557	5474	-							HWI79_2	918		
mRNA		GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	4557	5474	-			KAF7459424.1	hypothetical protein			HWI79_2	918		
CDS	with_protein	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	4557	5474	-	KAF7459424.1			hypothetical protein			HWI79_2	918	305	
gene	protein_coding	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	6507	11600	+							HWI79_3	5094		
mRNA		GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	6507	11600	+			KAF7459425.1	translation initiation factor eIF3 subunit 135			HWI79_3	5094		
CDS	with_protein	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	6507	11600	+	KAF7459425.1			translation initiation factor eIF3 subunit 135			HWI79_3	5094	1697	
gene	protein_coding	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	11936	12280	-							HWI79_4	345		
mRNA		GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	11936	12280	-			KAF7459426.1	hypothetical protein			HWI79_4	345		
CDS	with_protein	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	11936	12280	-	KAF7459426.1			hypothetical protein			HWI79_4	345	114	
gene	protein_coding	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	12507	13667	-							HWI79_5	1161		
mRNA		GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	12507	13667	-			KAF7459427.1	Ras-related GTP-binding protein D			HWI79_5	1161		
CDS	with_protein	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	12507	13667	-	KAF7459427.1			Ras-related GTP-binding protein D			HWI79_5	1161	386	
gene	protein_coding	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	14240	15399	+							HWI79_6	1160		
mRNA		GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	14240	15399	+			KAF7459428.1	hypothetical protein			HWI79_6	1047		
CDS	with_protein	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	14240	15399	+	KAF7459428.1			hypothetical protein			HWI79_6	1047	348	
gene	protein_coding	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	15760	16275	+							HWI79_7	516		
mRNA		GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	15760	16275	+			KAF7459429.1	putative integral membrane protein			HWI79_7	516		
CDS	with_protein	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	15760	16275	+	KAF7459429.1			putative integral membrane protein			HWI79_7	516	171	
gene	protein_coding	GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	16341	16814	-							HWI79_8	474		
mRNA		GCA_014529505.1	Primary Assembly	unplaced scaffold		JABXOJ010000001.1	16341	16814	-			KAF7459430.1	starch binding domain-containing protein			HWI79_8	474		
