# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	4147	5475	+							PCYB_011010	1329		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	4147	5475	+			GAB64368.1				PCYB_011010	1329		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	4147	5475	+	GAB64368.1			chitinase			PCYB_011010	1329	443	partial
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	6088	7559	-							PCYB_011020	1472		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	6088	7559	-			GAB64369.1				PCYB_011020	470		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	6279	7559	-	GAB64369.1			hypothetical protein			PCYB_011020	279	92	
gene	tRNA	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	9270	9342	-							PCYB_011023	73		
tRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	9270	9342	-				tRNA-Ala			PCYB_011023	73		
gene	tRNA	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	9898	9981	+							PCYB_011027	84		
tRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	9898	9981	+				tRNA-Tyr			PCYB_011027	84		
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	11536	12221	-							PCYB_011030	686		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	11536	12221	-			GAB64370.1				PCYB_011030	219		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	11536	12221	-	GAB64370.1			hypothetical protein			PCYB_011030	219	72	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	14067	19482	+							PCYB_011040	5416		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	14067	19482	+			GAB64371.1				PCYB_011040	5349		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	14067	19482	+	GAB64371.1			hypothetical protein			PCYB_011040	5349	1782	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	20476	21201	+							PCYB_011050	726		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	20476	21201	+			GAB64372.1				PCYB_011050	564		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	20476	21201	+	GAB64372.1			hypothetical protein			PCYB_011050	564	187	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	22138	25311	-							PCYB_011060	3174		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	22138	25311	-			GAB64373.1				PCYB_011060	2865		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	22138	25311	-	GAB64373.1			hypothetical protein			PCYB_011060	2865	954	partial
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	27894	28322	+							PCYB_011070	429		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	27894	28322	+			GAB64374.1				PCYB_011070	429		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	27894	28322	+	GAB64374.1			hypothetical protein			PCYB_011070	429	142	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	29386	31488	-							PCYB_011080	2103		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	29386	31488	-			GAB64375.1				PCYB_011080	2103		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	29386	31488	-	GAB64375.1			hypothetical protein			PCYB_011080	2103	701	partial
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	36573	43169	+							PCYB_011090	6597		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	36573	43169	+			GAB64376.1				PCYB_011090	6504		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	36573	43169	+	GAB64376.1			erythrocyte membrane-associated antigen			PCYB_011090	6504	2167	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	44849	47548	+							PCYB_011100	2700		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	44849	47548	+			GAB64377.1				PCYB_011100	1097		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	45392	47547	+	GAB64377.1			hypothetical protein			PCYB_011100	813	271	partial
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	48270	49307	-							PCYB_011110	1038		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	48270	49307	-			GAB64378.1				PCYB_011110	525		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	48270	49307	-	GAB64378.1			hypothetical protein			PCYB_011110	525	174	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	52192	54914	+							PCYB_011120	2723		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	52192	54914	+			GAB64379.1				PCYB_011120	2595		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	52192	54914	+	GAB64379.1			hypothetical protein			PCYB_011120	2595	864	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	55817	67805	-							PCYB_011130	11989		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	55817	67805	-			GAB64380.1				PCYB_011130	11700		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	59952	67805	-	GAB64380.1			hypothetical protein			PCYB_011130	7728	2575	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	69266	78246	-							PCYB_011140	8981		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	69266	78246	-			GAB64381.1				PCYB_011140	8010		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	69266	78246	-	GAB64381.1			hypothetical protein			PCYB_011140	8010	2670	partial
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	81226	91636	+							PCYB_011150	10411		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	81226	91636	+			GAB64382.1				PCYB_011150	9924		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	81226	89687	+	GAB64382.1			hypothetical protein			PCYB_011150	8394	2797	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	92496	96053	-							PCYB_011160	3558		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	92496	96053	-			GAB64383.1				PCYB_011160	3465		partial
CDS	with_protein	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	92496	96053	-	GAB64383.1			NOL1/NOP2/sun family methyltransferase			PCYB_011160	3465	1154	
gene	protein_coding	GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	99217	105300	+							PCYB_011170	6084		partial
mRNA		GCA_000321355.1	Primary Assembly	chromosome	1	DF157093.1	99217	105300	+			GAB64384.1				PCYB_011170	6012		partial
