# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	760	3000	-							EMWEY_00000010	2241		
CDS	with_protein	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	760	3000	-	CDJ55919.1			hypothetical protein, conserved			EMWEY_00000010	792	263	
gene	protein_coding	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	3852	5609	-							EMWEY_00000020	1758		
CDS	with_protein	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	3852	5609	-	CDJ55920.1			hypothetical protein, conserved			EMWEY_00000020	693	230	
gene	protein_coding	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	7867	10309	-							EMWEY_00000030	2443		
CDS	with_protein	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	7867	10309	-	CDJ55921.1			hypothtetical protein, conserved, putative			EMWEY_00000030	1392	463	
gene	protein_coding	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	25353	28250	-							EMWEY_00000040	2898		
CDS	with_protein	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	25353	28250	-	CDJ55922.1			hypothetical protein, conserved			EMWEY_00000040	2898	965	
gene	protein_coding	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	29472	31997	+							EMWEY_00000050	2526		
CDS	with_protein	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	29472	31997	+	CDJ55923.1			hypothetical protein, conserved			EMWEY_00000050	1716	571	
gene	protein_coding	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	37418	38602	+							EMWEY_00000060	1185		
CDS	with_protein	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	37418	38602	+	CDJ55924.1			hypothetical protein, conserved			EMWEY_00000060	1185	394	
gene	protein_coding	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	42760	44712	-							EMWEY_00000070	1953		
CDS	with_protein	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	42760	44712	-	CDJ55925.1			hypothetical protein, conserved			EMWEY_00000070	774	257	
gene	protein_coding	GCA_000499605.1	Primary Assembly	unplaced scaffold		HG718748.1	48513	49013	+							EMWEY_00000080	501		
