# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	29510	37126	+							PF3D7_0100100	7617		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	29510	37126	+	CAB89209.1			erythrocyte membrane protein 1, PfEMP1			PF3D7_0100100	6492	2163	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	38982	40207	-							PF3D7_0100200	1226		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	38982	40207	-	CAB89210.1			rifin			PF3D7_0100200	996	331	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	42367	46507	-							PF3D7_0100300	4141		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	42367	46507	-	CAB89211.1			erythrocyte membrane protein 1, PfEMP1			PF3D7_0100300	3984	1327	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	50363	51636	+							PF3D7_0100400	1274		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	50363	51636	+	CAB89212.1			rifin			PF3D7_0100400	1119	372	
gene	pseudogene	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	53169	53280	-							PF3D7_0100500	112		pseudo;pseudogene
CDS	without_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	53169	53280	-							PF3D7_0100500	112		pseudo;pseudogene
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	53778	55006	-							PF3D7_0100600	1229		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	53778	55006	-	CAB89214.1			rifin			PF3D7_0100600	1080	359	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	56690	56893	-							PF3D7_0100700	204		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	56690	56893	-	CAB89215.1			Plasmodium exported protein, unknown function, fragment			PF3D7_0100700	204	67	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	59772	61003	+							PF3D7_0100800	1232		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	59772	61003	+	CAB89216.1			rifin			PF3D7_0100800	1035	344	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	62187	63400	-							PF3D7_0100900	1214		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	62187	63400	-	CAB89217.1			rifin			PF3D7_0100900	1053	350	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	65817	66989	-							PF3D7_0101000	1173		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	65817	66989	-	CAX51180.1			rifin			PF3D7_0101000	1077	358	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	69304	70417	-							PF3D7_0101100	1114		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	69304	70417	-	CAD48971.1			exported protein family 4			PF3D7_0101100	930	309	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	71624	72426	+							PF3D7_0101200	803		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	71624	72426	+	CAD48972.1			exported protein family 3			PF3D7_0101200	693	230	
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	74563	75366	+							PF3D7_0101300	804		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	74563	75366	+	CAX51181.1			Pfmc-2TM Maurer's cleft two transmembrane protein			PF3D7_0101300	708	235	
gene	pseudogene	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	75982	76809	-							PF3D7_0101400	828		pseudo;pseudogene
CDS	without_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	75982	76809	-							PF3D7_0101400	828		pseudo;pseudogene
gene	pseudogene	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	78241	79891	+							PF3D7_0101500	1651		pseudo;pseudogene
CDS	without_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	78241	79891	+							PF3D7_0101500	1647		pseudo;pseudogene
gene	protein_coding	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	81765	83106	-							PF3D7_0101600	1342		
CDS	with_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	81765	83106	-	CAD48976.1			rifin			PF3D7_0101600	1110	369	
gene	pseudogene	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	84791	86152	-							PF3D7_0101700	1362		pseudo;pseudogene
CDS	without_protein	GCA_000002765.3	Primary Assembly	chromosome	1	AL844501.2	84791	86152	-							PF3D7_0101700	1359		pseudo;pseudogene
