# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	932	1333	-							C922_00001	402		partial
mRNA		GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	932	1333	-			EUD69138.1	hypothetical protein			C922_00001	402		partial
CDS	with_protein	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	932	1333	-	EUD69138.1			hypothetical protein			C922_00001	402	133	
gene	protein_coding	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	1370	1627	-							C922_00002	258		partial
mRNA		GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	1370	1627	-			EUD69139.1	hypothetical protein			C922_00002	258		partial
CDS	with_protein	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	1370	1627	-	EUD69139.1			hypothetical protein			C922_00002	258	85	
gene	protein_coding	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	2460	2681	-							C922_00003	222		partial
mRNA		GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	2460	2681	-			EUD69140.1	hypothetical protein			C922_00003	222		partial
CDS	with_protein	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	2460	2681	-	EUD69140.1			hypothetical protein			C922_00003	222	73	
gene	protein_coding	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	3732	4277	-							C922_00004	546		partial
mRNA		GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	3732	4277	-			EUD69141.1	hypothetical protein			C922_00004	327		partial
CDS	with_protein	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	3732	4277	-	EUD69141.1			hypothetical protein			C922_00004	327	108	
gene	protein_coding	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	21925	23052	-							C922_00005	1128		partial
mRNA		GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	21925	23052	-			EUD69142.1	hypothetical protein			C922_00005	1128		partial
CDS	with_protein	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	21925	23052	-	EUD69142.1			hypothetical protein			C922_00005	1128	375	
gene	protein_coding	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	46293	46988	-							C922_00006	696		partial
mRNA		GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	46293	46988	-			EUD69143.1	hypothetical protein			C922_00006	696		partial
CDS	with_protein	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	46293	46988	-	EUD69143.1			hypothetical protein			C922_00006	696	231	
gene	protein_coding	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	47031	48290	-							C922_00007	1260		partial
mRNA		GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	47031	48290	-			EUD69144.1	hypothetical protein			C922_00007	441		partial
CDS	with_protein	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	47031	48290	-	EUD69144.1			hypothetical protein			C922_00007	441	146	
gene	protein_coding	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	56026	57330	+							C922_00008	1305		partial
mRNA		GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	56026	57330	+			EUD69145.1	ribose-phosphate pyrophosphokinase			C922_00008	1305		partial
CDS	with_protein	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	56026	57330	+	EUD69145.1			ribose-phosphate pyrophosphokinase			C922_00008	1305	434	
gene	protein_coding	GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	58779	59012	+							C922_00009	234		partial
mRNA		GCA_000524495.1	Primary Assembly	unplaced scaffold		KI965460.1	58779	59012	+			EUD69146.1	small nuclear ribonucleoprotein			C922_00009	234		partial
