# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	661	3294	-							KVP18_004028	2634		
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	661	3294	-			KAH0488193.1	hypothetical protein			KVP18_004028	2580		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	661	3294	-	KAH0488193.1			hypothetical protein			KVP18_004028	2580	859	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	661	2057	-			KAH0488192.1	hypothetical protein			KVP18_004028	1359		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	661	2057	-	KAH0488192.1			hypothetical protein			KVP18_004028	1359	452	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	2101	3294	-			KAH0488191.1	hypothetical protein			KVP18_004028	1194		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	2101	3294	-	KAH0488191.1			hypothetical protein			KVP18_004028	1194	397	
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	3986	5710	-							KVP18_004026	1725		
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	3986	5710	-			KAH0488187.1	hypothetical protein			KVP18_004026	1689		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	3986	5710	-	KAH0488187.1			hypothetical protein			KVP18_004026	1689	562	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	3986	4222	-			KAH0488189.1	hypothetical protein			KVP18_004026	237		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	3986	4222	-	KAH0488189.1			hypothetical protein			KVP18_004026	237	78	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	4259	5710	-			KAH0488188.1	hypothetical protein			KVP18_004026	1452		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	4259	5710	-	KAH0488188.1			hypothetical protein			KVP18_004026	1452	483	
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	6211	8253	+							KVP18_004027	2043		
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	6211	8253	+			KAH0488190.1	hypothetical protein			KVP18_004027	2043		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000001.1	6211	8253	+	KAH0488190.1			hypothetical protein			KVP18_004027	2043	680	
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	1	1013	+							KVP18_001256	1013		partial
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	1	1013	+			KAH0488179.1	hypothetical protein			KVP18_001256	1013		partial
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	1	1013	+	KAH0488179.1			hypothetical protein			KVP18_001256	1013	336	partial
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	36	1013	+			KAH0488178.1	hypothetical protein			KVP18_001256	978		partial
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	36	1013	+	KAH0488178.1			hypothetical protein			KVP18_001256	978	325	partial
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	1619	1996	-							KVP18_001240	378		
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	1619	1996	-			KAH0488149.1	hypothetical protein			KVP18_001240	378		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	1619	1996	-	KAH0488149.1			hypothetical protein			KVP18_001240	378	125	
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	2761	4323	-							KVP18_001248	1563		
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	2761	4323	-			KAH0488166.1	hypothetical protein			KVP18_001248	1536		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	2761	4323	-	KAH0488166.1			hypothetical protein			KVP18_001248	1536	511	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	2761	3711	-			KAH0488164.1	hypothetical protein			KVP18_001248	951		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	2761	3711	-	KAH0488164.1			hypothetical protein			KVP18_001248	951	316	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	3739	4323	-			KAH0488165.1	hypothetical protein			KVP18_001248	585		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	3739	4323	-	KAH0488165.1			hypothetical protein			KVP18_001248	585	194	
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	4354	6919	+							KVP18_001244	2566		
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	4354	4734	+			KAH0488156.1	hypothetical protein			KVP18_001244	381		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	4354	4734	+	KAH0488156.1			hypothetical protein			KVP18_001244	381	126	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	4390	6919	+			KAH0488155.1	hypothetical protein			KVP18_001244	2502		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	4390	6919	+	KAH0488155.1			hypothetical protein			KVP18_001244	2502	833	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	4937	6919	+			KAH0488154.1	hypothetical protein			KVP18_001244	1983		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	4937	6919	+	KAH0488154.1			hypothetical protein			KVP18_001244	1983	660	
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	6962	7970	+							KVP18_001252	1009		
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	6962	7970	+			KAH0488174.1	hypothetical protein			KVP18_001252	981		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	6962	7970	+	KAH0488174.1			hypothetical protein			KVP18_001252	981	326	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	7188	7970	+			KAH0488173.1	hypothetical protein			KVP18_001252	783		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	7188	7970	+	KAH0488173.1			hypothetical protein			KVP18_001252	783	260	
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	7980	9984	-							KVP18_001245	2005		
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	7980	9984	-			KAH0488157.1	hypothetical protein			KVP18_001245	1923		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	7980	9984	-	KAH0488157.1			hypothetical protein			KVP18_001245	1923	640	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	7980	8813	-			KAH0488158.1	hypothetical protein			KVP18_001245	834		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	7980	8813	-	KAH0488158.1			hypothetical protein			KVP18_001245	834	277	
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	9011	9978	-			KAH0488159.1	hypothetical protein			KVP18_001245	963		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	9011	9978	-	KAH0488159.1			hypothetical protein			KVP18_001245	963	320	
gene	protein_coding	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	10077	10601	+							KVP18_001253	525		
mRNA		GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	10077	10601	+			KAH0488175.1	hypothetical protein			KVP18_001253	525		
CDS	with_protein	GCA_019968955.1	Primary Assembly	unplaced scaffold		JAHYSE010000002.1	10077	10601	+	KAH0488175.1			hypothetical protein			KVP18_001253	525	174	
