# Species	Genes	Alg.-Conn.	GCF_000956335.1_Plas_frag_nilgiri_V1_protein.faa	GCF_001680005.1_ASM168000v1_protein.faa	GCF_900002335.2_PCHAS01_protein.faa	GCF_900005855.1_PGAL8A_protein.faa	GCF_900090045.1_PmUG01_protein.faa
5	5	0.0649	XP_012335895.1	XP_019915398.1	XP_742583.2	XP_028525787.1	XP_028862026.1
5	5	0.0392	XP_012338251.1	XP_019912431.1	XP_741137.2	XP_028525901.1	XP_028860088.1
5	5	0.0603	XP_012335518.1	XP_019912896.1	XP_741430.2	XP_028525970.1	XP_028859498.1
5	5	0.0183	XP_012336361.1	XP_019912935.1	XP_731758.2	XP_028530976.1	XP_028859426.1
3	5	0.157	XP_012338620.1,XP_012338700.1,XP_012338708.1	XP_019917364.1	*	XP_028530211.1	*
5	5	0.0739	XP_012335609.1	XP_019914589.1	XP_745941.2	XP_028526939.1	XP_028861064.1
5	5	0.0117	XP_012333828.1	XP_019913474.1	XP_016653599.1	XP_028526298.1	XP_028860356.1
3	5	0.122	XP_012337724.1	XP_019913863.1,XP_019915186.1,XP_019915966.1	*	*	XP_028861458.1
5	5	0.0283	XP_012336293.1	XP_019914616.1	XP_743872.2	XP_028527067.1	XP_028861194.1
5	5	0.0338	XP_012333134.1	XP_019914773.1	XP_016655424.1	XP_028529176.1	XP_028861735.1
5	9	0.1	XP_012336789.1	XP_019913898.1	XP_016655222.1,XP_016655689.1,XP_016653042.1,XP_016654396.1,XP_016654788.1	XP_028530152.1	XP_028862220.1
5	5	0.0481	XP_012336771.1	XP_019913193.1	XP_738479.2	XP_028528711.1	XP_028863590.1
5	5	0.17	XP_012336854.1	XP_019913331.1	XP_742145.2	XP_028528206.1	XP_028859689.1
4	4	0.103	XP_012335376.1	XP_019917588.1	*	XP_028526401.1	XP_028864511.1
4	4	0.0551	XP_012337344.1	XP_019912645.1	*	XP_028528266.1	XP_028860128.1
2	4	0.233	*	XP_019912393.1,XP_019914213.1,XP_019914912.1	*	*	XP_028862322.1
5	5	0.0502	XP_012337358.1	XP_019914602.1	XP_016654177.1	XP_028526964.1	XP_028861090.1
4	4	0.105	XP_012335339.1	XP_019917616.1	XP_739962.2	XP_028526366.1	*
4	4	0.0595	XP_012335996.1	XP_019917544.1	*	XP_028529864.1	XP_028864659.1
5	5	0.0345	XP_012335933.1	XP_019914163.1	XP_744741.2	XP_028529611.1	XP_028860846.1
4	4	0.121	XP_012334882.1	XP_019917229.1	XP_746144.1	XP_028528371.1	*
4	4	0.156	XP_012335504.1	*	XP_745802.2	XP_028527262.1	XP_028859512.1
4	4	0.166	XP_012336705.1	*	XP_016655202.1	XP_028530111.1	XP_028862181.1
5	5	0.0287	XP_012335031.1	XP_019912788.1	XP_016655496.1	XP_028530937.1	XP_028859388.1
4	4	0.0538	XP_012333362.1	XP_019916547.1	*	XP_028530223.1	XP_028864103.1
5	5	0.0405	XP_012335018.1	XP_019912835.1	XP_738487.2	XP_028530950.1	XP_028859401.1
4	4	0.0703	XP_012333441.1	XP_019916864.1	*	XP_028527795.1	XP_028863068.1
5	5	0.0722	XP_012333495.1	XP_019916391.1	XP_016654633.1	XP_028527742.1	XP_028863120.1
