# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	3013	4152	-							BBBOND_0100010	1140		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	3013	4152	-	CDR93672.1			hypothetical protein, conserved			BBBOND_0100010	1140	379	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	4229	4531	-							BBBOND_0100020	303		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	4229	4531	-	CDR93673.1			hypothetical protein			BBBOND_0100020	303	100	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	5681	7258	-							BBBOND_0100030	1578		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	5681	7258	-	CDR93674.1			cAMP-specific phosphodiesterase, putative			BBBOND_0100030	1578	525	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	7853	8062	-							BBBOND_0100040	210		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	7853	8062	-	CDR93675.1			hypothetical protein			BBBOND_0100040	210	69	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	8443	11004	-							BBBOND_0100050	2562		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	8443	11004	-	CDR93676.1			FabD/lysophospholipase like protein			BBBOND_0100050	2562	853	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	12544	18440	+							BBBOND_0100060	5897		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	12544	18440	+	CDR93677.1			hypothetical protein, conserved			BBBOND_0100060	5862	1953	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	18532	19973	-							BBBOND_0100070	1442		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	18532	19973	-	CDR93678.1			peptide chain release factor subunit 1, putative			BBBOND_0100070	1296	431	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	20585	20923	+							BBBOND_0100080	339		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	20585	20923	+	CDR93679.1			Mitochondrial import inner membrane translocase subunit tim16			BBBOND_0100080	339	112	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	20934	23627	+							BBBOND_0100090	2694		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	20934	23627	+	CDR93680.1			hypothetical protein, conserved			BBBOND_0100090	2694	897	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	23795	25759	-							BBBOND_0100100	1965		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	23795	25759	-	CDR93681.1			heat shock protein 70, putative			BBBOND_0100100	1965	654	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	26641	27124	+							BBBOND_0100110	484		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	26641	27124	+	CDR93682.1			hypothetical protein			BBBOND_0100110	411	136	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	27205	28351	+							BBBOND_0100120	1147		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	27205	28351	+	CDR93683.1			hypothetical protein, conserved			BBBOND_0100120	1116	371	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	28699	29037	-							BBBOND_0100130	339		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	28699	29037	-	CDR93684.1			ribosomal protein S14, putative			BBBOND_0100130	339	112	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	29121	30428	-							BBBOND_0100140	1308		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	29121	30428	-	CDR93685.1			hypothetical protein, conserved			BBBOND_0100140	1020	339	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	30851	31165	+							BBBOND_0100150	315		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	30851	31165	+	CDR93686.1			hypothetical protein			BBBOND_0100150	315	104	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	32207	35071	+							BBBOND_0100160	2865		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	32207	35071	+	CDR93687.1			hypothetical protein			BBBOND_0100160	2865	954	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	36274	36837	+							BBBOND_0100170	564		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	36274	36837	+	CDR93688.1			hypothetical protein			BBBOND_0100170	564	187	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	37656	37835	-							BBBOND_0100180	180		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	37656	37835	-	CDR93689.1			hypothetical protein			BBBOND_0100180	180	59	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	38197	42699	-							BBBOND_0100190	4503		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	38197	42699	-	CDR93690.1			Ribosome-binding protein 1			BBBOND_0100190	4503	1500	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	43401	44018	-							BBBOND_0100200	618		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	43401	44018	-	CDR93691.1			hypothetical protein			BBBOND_0100200	519	172	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	44695	53971	-					frameshifts or pseudogene? - check sequence		BBBOND_0100210	9277		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	44695	53971	-	CDR93692.1			hypothetical protein	frameshifts or pseudogene? - check sequence		BBBOND_0100210	8910	2969	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	54976	59931	+							BBBOND_0100220	4956		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	54976	59931	+	CDR93693.1			hypothetical protein			BBBOND_0100220	4956	1651	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	61150	61335	+							BBBOND_0100230	186		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	61150	61335	+	CDR93694.1			hypothetical protein			BBBOND_0100230	186	61	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	62840	63812	-							BBBOND_0100240	973		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	62840	63812	-	CDR93695.1			ribosomal protein S2, putative			BBBOND_0100240	810	269	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	64558	65097	+							BBBOND_0100250	540		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	64558	65097	+	CDR93696.1			hypothetical protein, conserved			BBBOND_0100250	429	142	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	65100	66113	+							BBBOND_0100260	1014		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	65100	66113	+	CDR93697.1			glutamine cyclotransferase, putative			BBBOND_0100260	1014	337	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	66902	68146	+							BBBOND_0100270	1245		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	66902	68146	+	CDR93698.1			DHHC zinc finger domain containing protein, putative			BBBOND_0100270	945	314	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	68566	77112	+							BBBOND_0100280	8547		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	68566	77112	+	CDR93699.1			hypothetical protein, conserved			BBBOND_0100280	8547	2848	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	77208	78985	+							BBBOND_0100290	1778		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	77208	78985	+	CDR93700.1			hypothetical protein, conserved			BBBOND_0100290	1557	518	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	79072	79944	+							BBBOND_0100300	873		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	79072	79944	+	CDR93701.1			ribosomal protein L7/L12, putative			BBBOND_0100300	684	227	
gene	protein_coding	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	80003	82444	-							BBBOND_0100310	2442		
CDS	with_protein	GCA_000981445.1	Primary Assembly	chromosome	I	LK391707.1	80003	82444	-	CDR93702.1			hypothetical protein, conserved			BBBOND_0100310	2442	813	
