# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	15453	22922	+							NCLIV_000010	7470		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	15453	22922	+	CBZ49503.1			putative heat shock protein 90			NCLIV_000010	2457	818	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	23563	31911	-							NCLIV_000020	8349		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	23563	31911	-	CBZ49504.1			putative M protein			NCLIV_000020	2292	763	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	34077	39761	-							NCLIV_000030	5685		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	34077	39761	-	CBZ49505.1			conserved hypothetical protein			NCLIV_000030	5685	1894	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	43707	47951	-							NCLIV_000040	4245		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	43707	47951	-	CBZ49506.1			putative transmembrane domain-containing protein			NCLIV_000040	1896	631	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	50333	67055	-							NCLIV_000050	16723		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	50333	67055	-	CBZ49507.1			conserved hypothetical protein			NCLIV_000050	8418	2805	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	71321	85323	+							NCLIV_000060	14003		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	71321	85323	+	CBZ49508.1			putative 3', 5'-cyclic nucleotide phosphodiesterase domain-containing protein			NCLIV_000060	6696	2231	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	89508	90998	+							NCLIV_000070	1491		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	89508	90998	+	CBZ49509.1			conserved hypothetical protein			NCLIV_000070	378	125	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	93992	104253	+							NCLIV_000080	10262		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	93992	104253	+	CBZ49510.1			conserved hypothetical protein			NCLIV_000080	9195	3064	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	107536	108816	-							NCLIV_000090	1281		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	107536	108816	-	CBZ49511.1			conserved hypothetical protein			NCLIV_000090	1281	426	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	109004	110206	-							NCLIV_000100	1203		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	109004	110206	-	CBZ49512.1			putative sybindin-like family domain-containing protein			NCLIV_000100	441	146	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	112338	119877	+							NCLIV_000110	7540		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	112338	119877	+	CBZ49513.1			arabinogalactan protein, related			NCLIV_000110	2334	777	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	122226	132266	-							NCLIV_000120	10041		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	122226	132266	-	CBZ49514.1			conserved hypothetical protein			NCLIV_000120	9717	3238	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	135373	140309	-							NCLIV_000130	4937		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	135373	140309	-	CBZ49515.1			hypothetical protein			NCLIV_000130	1485	494	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	144578	150939	+							NCLIV_000140	6362		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	144578	150939	+	CBZ49516.1			inositol-1,4,5-trisphosphate 5-phosphatase 2, related			NCLIV_000140	1971	656	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	153974	155100	+							NCLIV_000150	1127		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	153974	155100	+	CBZ49517.1			conserved hypothetical protein			NCLIV_000150	240	79	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	159529	166900	+							NCLIV_000160	7372		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	159529	166900	+	CBZ49518.1			putative zinc finger DHHC domain-containing protein			NCLIV_000160	4161	1386	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	169260	175558	-							NCLIV_000170	6299		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	169260	175558	-	CBZ49519.1			conserved hypothetical protein			NCLIV_000170	1395	464	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	179208	183072	+							NCLIV_000180	3865		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	179208	183072	+	CBZ49520.1			conserved hypothetical protein			NCLIV_000180	3402	1133	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	187823	191812	+							NCLIV_000190	3990		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	187823	191812	+	CBZ49521.1			conserved hypothetical protein			NCLIV_000190	3990	1329	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	193889	198745	-							NCLIV_000200	4857		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	193889	198745	-	CBZ49522.1			hypothetical protein			NCLIV_000200	4857	1618	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	204228	207575	+							NCLIV_000210	3348		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	204228	207575	+	CBZ49523.1			hypothetical protein			NCLIV_000210	3348	1115	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	212384	215612	+							NCLIV_000220	3229		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	212384	215612	+	CBZ49524.1			putative pyruvate dehydrogenase (lipoamide) kinase			NCLIV_000220	2919	972	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	220540	228657	-							NCLIV_000230	8118		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	220540	228657	-	CBZ49525.1			conserved hypothetical protein			NCLIV_000230	8118	2705	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	233545	235455	+							NCLIV_000240	1911		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	233545	235455	+	CBZ49526.1			putative WW domain containing protein			NCLIV_000240	1911	636	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	237067	237432	-							NCLIV_000250	366		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	237067	237432	-	CBZ49527.1			putative ribosomal protein L20			NCLIV_000250	366	121	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	239747	250500	+							NCLIV_000260	10754		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	239747	250500	+	CBZ49528.1			conserved hypothetical protein			NCLIV_000260	5028	1675	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	256048	259875	+							NCLIV_000270	3828		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	256048	259875	+	CBZ49529.1			conserved hypothetical protein			NCLIV_000270	3828	1275	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	260963	263403	-							NCLIV_000280	2441		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	260963	263403	-	CBZ49530.1			ranbp1 domain containing protein, related			NCLIV_000280	651	216	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	265611	267942	+							NCLIV_000290	2332		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	265611	267942	+	CBZ49531.1			putative mitochondrial carrier domain-containing protein			NCLIV_000290	1242	413	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	269681	271050	-							NCLIV_000300	1370		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	269681	271050	-	CBZ49532.1			conserved hypothetical protein			NCLIV_000300	765	254	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	274950	276803	-							NCLIV_000310	1854		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	274950	276803	-	CBZ49533.1			putative arginine N-methyltransferase			NCLIV_000310	1854	617	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	278802	280577	-							NCLIV_000320	1776		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	278802	280577	-	CBZ49534.1			hypothetical protein			NCLIV_000320	1776	591	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	282208	286323	+							NCLIV_000330	4116		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	282208	286323	+	CBZ49535.1			conserved hypothetical protein			NCLIV_000330	2118	705	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	289748	292805	+							NCLIV_000340	3058		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	289748	292805	+	CBZ49536.1			hypothetical protein			NCLIV_000340	1212	403	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	294461	295216	-							NCLIV_000350	756		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	294461	295216	-	CBZ49537.1			conserved hypothetical protein			NCLIV_000350	756	251	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	295483	296048	-							NCLIV_000360	566		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	295483	296048	-	CBZ49538.1			conserved hypothetical protein			NCLIV_000360	234	77	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	298221	299945	+							NCLIV_000370	1725		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	298221	299945	+	CBZ49539.1			conserved hypothetical protein			NCLIV_000370	1725	574	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	302613	304271	+							NCLIV_000380	1659		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	302613	304271	+	CBZ49540.1			potential mitochondrial membrane protein,related			NCLIV_000380	1659	552	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	305636	306874	-							NCLIV_000390	1239		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	305636	306874	-	CBZ49541.1			conserved hypothetical protein			NCLIV_000390	1239	412	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	309430	310692	-							NCLIV_000400	1263		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	309430	310692	-	CBZ49542.1			conserved hypothetical protein			NCLIV_000400	1263	420	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	314738	317519	+							NCLIV_000410	2782		
CDS	with_protein	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	314738	317519	+	CBZ49543.1			hypothetical protein			NCLIV_000410	1113	370	
gene	protein_coding	GCA_000208865.2	Primary Assembly	chromosome	Ia	FR823380.1	319860	329969	+							NCLIV_000420	10110		
